Initializing soft prompt...
data/test_DuoRC.ParaphraseRC.pt
{'loss': 1.637, 'learning_rate': 0.000999460625674218, 'epoch': 0.0}
{'loss': 1.5956, 'learning_rate': 0.0009989212513484358, 'epoch': 0.0}
{'loss': 1.854, 'learning_rate': 0.0009983818770226537, 'epoch': 0.01}
{'loss': 1.5654, 'learning_rate': 0.0009978425026968716, 'epoch': 0.01}
{'loss': 1.5219, 'learning_rate': 0.0009973031283710895, 'epoch': 0.01}
{'loss': 1.6828, 'learning_rate': 0.0009967637540453074, 'epoch': 0.01}
{'loss': 1.7263, 'learning_rate': 0.0009962243797195253, 'epoch': 0.02}
{'loss': 1.7656, 'learning_rate': 0.0009956850053937432, 'epoch': 0.02}
{'loss': 1.9189, 'learning_rate': 0.0009951456310679611, 'epoch': 0.02}
{'loss': 1.7673, 'learning_rate': 0.000994606256742179, 'epoch': 0.02}
{'loss': 1.7028, 'learning_rate': 0.000994066882416397, 'epoch': 0.02}
{'loss': 1.843, 'learning_rate': 0.0009935275080906148, 'epoch': 0.03}
{'loss': 1.7991, 'learning_rate': 0.0009929881337648327, 'epoch': 0.03}
{'loss': 1.5861, 'learning_rate': 0.0009924487594390509, 'epoch': 0.03}
{'loss': 1.7179, 'learning_rate': 0.0009919093851132688, 'epoch': 0.03}
{'loss': 1.8318, 'learning_rate': 0.0009913700107874867, 'epoch': 0.03}
{'loss': 1.8846, 'learning_rate': 0.0009908306364617044, 'epoch': 0.04}
{'loss': 1.6673, 'learning_rate': 0.0009902912621359223, 'epoch': 0.04}
{'loss': 1.6625, 'learning_rate': 0.0009897518878101402, 'epoch': 0.04}
{'loss': 1.6425, 'learning_rate': 0.000989212513484358, 'epoch': 0.04}
{'loss': 1.5362, 'learning_rate': 0.000988673139158576, 'epoch': 0.05}
{'loss': 1.7416, 'learning_rate': 0.0009881337648327939, 'epoch': 0.05}
{'loss': 1.5536, 'learning_rate': 0.000987594390507012, 'epoch': 0.05}
{'loss': 1.5206, 'learning_rate': 0.0009870550161812299, 'epoch': 0.05}
{'loss': 1.6179, 'learning_rate': 0.0009865156418554478, 'epoch': 0.05}
{'loss': 1.6751, 'learning_rate': 0.0009859762675296657, 'epoch': 0.06}
{'loss': 1.4748, 'learning_rate': 0.0009854368932038836, 'epoch': 0.06}
{'loss': 1.8188, 'learning_rate': 0.0009848975188781015, 'epoch': 0.06}
{'loss': 1.503, 'learning_rate': 0.0009843581445523194, 'epoch': 0.06}
{'loss': 1.7605, 'learning_rate': 0.0009838187702265373, 'epoch': 0.06}
{'loss': 1.607, 'learning_rate': 0.0009832793959007552, 'epoch': 0.07}
{'loss': 1.985, 'learning_rate': 0.000982740021574973, 'epoch': 0.07}
{'loss': 1.553, 'learning_rate': 0.000982200647249191, 'epoch': 0.07}
{'loss': 1.7784, 'learning_rate': 0.000981661272923409, 'epoch': 0.07}
{'loss': 1.6478, 'learning_rate': 0.0009811218985976268, 'epoch': 0.08}
{'loss': 1.6777, 'learning_rate': 0.0009805825242718447, 'epoch': 0.08}
{'loss': 1.5675, 'learning_rate': 0.0009800431499460626, 'epoch': 0.08}
{'loss': 1.4567, 'learning_rate': 0.0009795037756202805, 'epoch': 0.08}
{'loss': 1.6675, 'learning_rate': 0.0009789644012944984, 'epoch': 0.08}
{'loss': 1.7616, 'learning_rate': 0.0009784250269687163, 'epoch': 0.09}
{'loss': 1.7649, 'learning_rate': 0.0009778856526429342, 'epoch': 0.09}
{'loss': 1.5342, 'learning_rate': 0.0009773462783171521, 'epoch': 0.09}
{'loss': 1.5235, 'learning_rate': 0.00097680690399137, 'epoch': 0.09}
{'loss': 1.495, 'learning_rate': 0.0009762675296655879, 'epoch': 0.09}
{'loss': 1.7287, 'learning_rate': 0.0009757281553398058, 'epoch': 0.1}
{'loss': 1.6145, 'learning_rate': 0.0009751887810140237, 'epoch': 0.1}
{'loss': 1.8894, 'learning_rate': 0.0009746494066882416, 'epoch': 0.1}
{'loss': 1.5691, 'learning_rate': 0.0009741100323624595, 'epoch': 0.1}
{'loss': 1.7588, 'learning_rate': 0.0009735706580366774, 'epoch': 0.11}
{'loss': 1.596, 'learning_rate': 0.0009730312837108953, 'epoch': 0.11}
{'loss': 1.5891, 'learning_rate': 0.0009724919093851134, 'epoch': 0.11}
{'loss': 1.5524, 'learning_rate': 0.0009719525350593313, 'epoch': 0.11}
{'loss': 1.7332, 'learning_rate': 0.0009714131607335492, 'epoch': 0.11}
{'loss': 1.7698, 'learning_rate': 0.0009708737864077671, 'epoch': 0.12}
{'loss': 1.579, 'learning_rate': 0.000970334412081985, 'epoch': 0.12}
{'loss': 1.5299, 'learning_rate': 0.0009697950377562029, 'epoch': 0.12}
{'loss': 1.7949, 'learning_rate': 0.0009692556634304207, 'epoch': 0.12}
{'loss': 1.5584, 'learning_rate': 0.0009687162891046386, 'epoch': 0.13}
{'loss': 1.7903, 'learning_rate': 0.0009681769147788565, 'epoch': 0.13}
{'loss': 1.6778, 'learning_rate': 0.0009676375404530745, 'epoch': 0.13}
{'loss': 1.4874, 'learning_rate': 0.0009670981661272924, 'epoch': 0.13}
{'loss': 1.6675, 'learning_rate': 0.0009665587918015103, 'epoch': 0.13}
{'loss': 1.5527, 'learning_rate': 0.0009660194174757282, 'epoch': 0.14}
{'loss': 1.612, 'learning_rate': 0.0009654800431499461, 'epoch': 0.14}
{'loss': 1.6436, 'learning_rate': 0.000964940668824164, 'epoch': 0.14}
{'loss': 1.5301, 'learning_rate': 0.0009644012944983819, 'epoch': 0.14}
{'loss': 1.5925, 'learning_rate': 0.0009638619201725998, 'epoch': 0.14}
{'loss': 1.6166, 'learning_rate': 0.0009633225458468177, 'epoch': 0.15}
{'loss': 1.6584, 'learning_rate': 0.0009627831715210357, 'epoch': 0.15}
{'loss': 1.6416, 'learning_rate': 0.0009622437971952536, 'epoch': 0.15}
{'loss': 1.5662, 'learning_rate': 0.0009617044228694715, 'epoch': 0.15}
{'loss': 1.5396, 'learning_rate': 0.0009611650485436894, 'epoch': 0.16}
{'loss': 1.3948, 'learning_rate': 0.0009606256742179073, 'epoch': 0.16}
{'loss': 1.5868, 'learning_rate': 0.0009600862998921251, 'epoch': 0.16}
{'loss': 1.4986, 'learning_rate': 0.000959546925566343, 'epoch': 0.16}
{'loss': 1.6497, 'learning_rate': 0.0009590075512405609, 'epoch': 0.16}
{'loss': 1.6186, 'learning_rate': 0.0009584681769147788, 'epoch': 0.17}
{'loss': 1.7216, 'learning_rate': 0.0009579288025889967, 'epoch': 0.17}
{'loss': 1.598, 'learning_rate': 0.0009573894282632147, 'epoch': 0.17}
{'loss': 1.6649, 'learning_rate': 0.0009568500539374326, 'epoch': 0.17}
{'loss': 1.4522, 'learning_rate': 0.0009563106796116505, 'epoch': 0.17}
{'loss': 1.5858, 'learning_rate': 0.0009557713052858684, 'epoch': 0.18}
{'loss': 1.4704, 'learning_rate': 0.0009552319309600863, 'epoch': 0.18}
{'loss': 1.5453, 'learning_rate': 0.0009546925566343042, 'epoch': 0.18}
{'loss': 1.6944, 'learning_rate': 0.0009541531823085221, 'epoch': 0.18}
{'loss': 1.6229, 'learning_rate': 0.00095361380798274, 'epoch': 0.19}
