Initializing soft prompt...
data/train_SQuAD.pt
data/validation_SQuAD.pt
data/test_DuoRC.ParaphraseRC.pt
{'loss': 0.4983, 'learning_rate': 0.0009990761271249076, 'epoch': 0.0}
{'loss': 0.4494, 'learning_rate': 0.0009981522542498152, 'epoch': 0.01}
{'loss': 0.5108, 'learning_rate': 0.0009972283813747228, 'epoch': 0.01}
{'loss': 0.5118, 'learning_rate': 0.0009963045084996306, 'epoch': 0.01}
{'loss': 0.4992, 'learning_rate': 0.0009953806356245382, 'epoch': 0.02}
{'loss': 0.5218, 'learning_rate': 0.0009944567627494458, 'epoch': 0.02}
{'loss': 0.4664, 'learning_rate': 0.0009935328898743533, 'epoch': 0.03}
{'loss': 0.5096, 'learning_rate': 0.000992609016999261, 'epoch': 0.03}
{'loss': 0.4998, 'learning_rate': 0.0009916851441241685, 'epoch': 0.03}
{'loss': 0.4798, 'learning_rate': 0.000990761271249076, 'epoch': 0.04}
{'loss': 0.5337, 'learning_rate': 0.000989837398373984, 'epoch': 0.04}
{'loss': 0.4808, 'learning_rate': 0.0009889135254988913, 'epoch': 0.04}
{'loss': 0.4844, 'learning_rate': 0.000987989652623799, 'epoch': 0.05}
{'loss': 0.4268, 'learning_rate': 0.0009870657797487067, 'epoch': 0.05}
{'loss': 0.4499, 'learning_rate': 0.0009861419068736142, 'epoch': 0.06}
{'loss': 0.4761, 'learning_rate': 0.0009852180339985218, 'epoch': 0.06}
{'loss': 0.4673, 'learning_rate': 0.0009842941611234294, 'epoch': 0.06}
{'loss': 0.4306, 'learning_rate': 0.000983370288248337, 'epoch': 0.07}
{'loss': 0.4638, 'learning_rate': 0.0009824464153732446, 'epoch': 0.07}
{'loss': 0.4564, 'learning_rate': 0.0009815225424981524, 'epoch': 0.07}
{'loss': 0.464, 'learning_rate': 0.00098059866962306, 'epoch': 0.08}
{'loss': 0.493, 'learning_rate': 0.0009796747967479673, 'epoch': 0.08}
{'loss': 0.4406, 'learning_rate': 0.0009787509238728751, 'epoch': 0.08}
{'loss': 0.4742, 'learning_rate': 0.0009778270509977827, 'epoch': 0.09}
{'loss': 0.4291, 'learning_rate': 0.0009769031781226903, 'epoch': 0.09}
{'loss': 0.4833, 'learning_rate': 0.0009759793052475979, 'epoch': 0.1}
{'loss': 0.4848, 'learning_rate': 0.0009750554323725056, 'epoch': 0.1}
{'loss': 0.4476, 'learning_rate': 0.0009741315594974132, 'epoch': 0.1}
{'loss': 0.5118, 'learning_rate': 0.0009732076866223209, 'epoch': 0.11}
{'loss': 0.4367, 'learning_rate': 0.0009722838137472285, 'epoch': 0.11}
{'loss': 0.3683, 'learning_rate': 0.0009713599408721359, 'epoch': 0.11}
{'loss': 0.4693, 'learning_rate': 0.0009704360679970436, 'epoch': 0.12}
{'loss': 0.4291, 'learning_rate': 0.0009695121951219512, 'epoch': 0.12}
{'loss': 0.4396, 'learning_rate': 0.0009685883222468589, 'epoch': 0.13}
{'loss': 0.4462, 'learning_rate': 0.0009676644493717665, 'epoch': 0.13}
{'loss': 0.4671, 'learning_rate': 0.0009667405764966741, 'epoch': 0.13}
{'loss': 0.4355, 'learning_rate': 0.0009658167036215817, 'epoch': 0.14}
{'loss': 0.4281, 'learning_rate': 0.0009648928307464892, 'epoch': 0.14}
{'loss': 0.4204, 'learning_rate': 0.0009639689578713969, 'epoch': 0.14}
{'loss': 0.4503, 'learning_rate': 0.0009630450849963045, 'epoch': 0.15}
{'loss': 0.4219, 'learning_rate': 0.0009621212121212122, 'epoch': 0.15}
{'loss': 0.397, 'learning_rate': 0.0009611973392461197, 'epoch': 0.16}
{'loss': 0.4547, 'learning_rate': 0.0009602734663710274, 'epoch': 0.16}
{'loss': 0.431, 'learning_rate': 0.000959349593495935, 'epoch': 0.16}
{'loss': 0.4762, 'learning_rate': 0.0009584257206208426, 'epoch': 0.17}
{'loss': 0.4097, 'learning_rate': 0.0009575018477457503, 'epoch': 0.17}
{'loss': 0.4647, 'learning_rate': 0.0009565779748706577, 'epoch': 0.17}
{'loss': 0.468, 'learning_rate': 0.0009556541019955654, 'epoch': 0.18}
{'loss': 0.4449, 'learning_rate': 0.000954730229120473, 'epoch': 0.18}
{'loss': 0.5283, 'learning_rate': 0.0009538063562453807, 'epoch': 0.18}
{'loss': 0.4592, 'learning_rate': 0.0009528824833702883, 'epoch': 0.19}
{'loss': 0.4197, 'learning_rate': 0.0009519586104951959, 'epoch': 0.19}
{'loss': 0.5097, 'learning_rate': 0.0009510347376201035, 'epoch': 0.2}
{'loss': 0.4746, 'learning_rate': 0.000950110864745011, 'epoch': 0.2}
{'loss': 0.4391, 'learning_rate': 0.0009491869918699187, 'epoch': 0.2}
{'loss': 0.3922, 'learning_rate': 0.0009482631189948263, 'epoch': 0.21}
{'loss': 0.4417, 'learning_rate': 0.000947339246119734, 'epoch': 0.21}
{'loss': 0.4327, 'learning_rate': 0.0009464153732446415, 'epoch': 0.21}
{'loss': 0.4785, 'learning_rate': 0.0009454915003695491, 'epoch': 0.22}
{'loss': 0.4906, 'learning_rate': 0.0009445676274944568, 'epoch': 0.22}
{'loss': 0.5279, 'learning_rate': 0.0009436437546193644, 'epoch': 0.23}
{'loss': 0.4018, 'learning_rate': 0.0009427198817442721, 'epoch': 0.23}
{'loss': 0.4314, 'learning_rate': 0.0009417960088691796, 'epoch': 0.23}
{'loss': 0.4902, 'learning_rate': 0.0009408721359940872, 'epoch': 0.24}
{'loss': 0.4363, 'learning_rate': 0.0009399482631189948, 'epoch': 0.24}
{'loss': 0.4373, 'learning_rate': 0.0009390243902439024, 'epoch': 0.24}
{'loss': 0.4135, 'learning_rate': 0.0009381005173688101, 'epoch': 0.25}
{'loss': 0.5325, 'learning_rate': 0.0009371766444937177, 'epoch': 0.25}
{'loss': 0.4528, 'learning_rate': 0.0009362527716186253, 'epoch': 0.25}
{'loss': 0.4807, 'learning_rate': 0.0009353288987435329, 'epoch': 0.26}
{'loss': 0.3626, 'learning_rate': 0.0009344050258684406, 'epoch': 0.26}
{'loss': 0.3715, 'learning_rate': 0.0009334811529933481, 'epoch': 0.27}
{'loss': 0.484, 'learning_rate': 0.0009325572801182558, 'epoch': 0.27}
{'loss': 0.4972, 'learning_rate': 0.0009316334072431634, 'epoch': 0.27}
{'loss': 0.3986, 'learning_rate': 0.0009307095343680709, 'epoch': 0.28}
{'loss': 0.3827, 'learning_rate': 0.0009297856614929786, 'epoch': 0.28}
{'loss': 0.4086, 'learning_rate': 0.0009288617886178862, 'epoch': 0.28}
{'loss': 0.4537, 'learning_rate': 0.0009279379157427939, 'epoch': 0.29}
{'loss': 0.426, 'learning_rate': 0.0009270140428677015, 'epoch': 0.29}
{'loss': 0.3792, 'learning_rate': 0.000926090169992609, 'epoch': 0.3}
{'loss': 0.4498, 'learning_rate': 0.0009251662971175166, 'epoch': 0.3}
{'loss': 0.4242, 'learning_rate': 0.0009242424242424242, 'epoch': 0.3}
{'loss': 0.4166, 'learning_rate': 0.0009233185513673319, 'epoch': 0.31}
{'loss': 0.4732, 'learning_rate': 0.0009223946784922395, 'epoch': 0.31}
{'loss': 0.462, 'learning_rate': 0.0009214708056171472, 'epoch': 0.31}
{'loss': 0.4507, 'learning_rate': 0.0009205469327420547, 'epoch': 0.32}
