Initializing soft prompt...
Downloading and preparing dataset mrqa/plain_text (download: 1.38 GiB, generated: 4.31 GiB, post-processed: Unknown size, total: 5.69 GiB) to /datasets/home/37/137/ziw029/T5_SQuAD_Prompt_Tuning/data/mrqa/mrqa/plain_text/1.1.0/1f2cf5ac32b43f864e6f91d384057a16b69b7d13ba9bcaa200ac277c90938d19...
Dataset mrqa downloaded and prepared to /datasets/home/37/137/ziw029/T5_SQuAD_Prompt_Tuning/data/mrqa/mrqa/plain_text/1.1.0/1f2cf5ac32b43f864e6f91d384057a16b69b7d13ba9bcaa200ac277c90938d19. Subsequent calls will reuse this data.
{'loss': 0.5742, 'learning_rate': 0.0009986141906873614, 'epoch': 0.01}
{'loss': 0.5659, 'learning_rate': 0.0009972283813747228, 'epoch': 0.01}
{'loss': 0.5341, 'learning_rate': 0.0009958425720620844, 'epoch': 0.02}
{'loss': 0.6368, 'learning_rate': 0.0009944567627494458, 'epoch': 0.02}
{'loss': 0.5504, 'learning_rate': 0.0009930709534368071, 'epoch': 0.03}
{'loss': 0.5941, 'learning_rate': 0.0009916851441241685, 'epoch': 0.03}
{'loss': 0.5579, 'learning_rate': 0.00099029933481153, 'epoch': 0.04}
{'loss': 0.5431, 'learning_rate': 0.0009889135254988913, 'epoch': 0.04}
{'loss': 0.5196, 'learning_rate': 0.0009875277161862529, 'epoch': 0.05}
{'loss': 0.5626, 'learning_rate': 0.0009861419068736142, 'epoch': 0.06}
{'loss': 0.5284, 'learning_rate': 0.0009847560975609756, 'epoch': 0.06}
{'loss': 0.5147, 'learning_rate': 0.000983370288248337, 'epoch': 0.07}
{'loss': 0.5109, 'learning_rate': 0.0009819844789356984, 'epoch': 0.07}
{'loss': 0.509, 'learning_rate': 0.00098059866962306, 'epoch': 0.08}
{'loss': 0.5712, 'learning_rate': 0.0009792128603104213, 'epoch': 0.08}
{'loss': 0.5257, 'learning_rate': 0.0009778270509977827, 'epoch': 0.09}
{'loss': 0.4693, 'learning_rate': 0.0009764412416851441, 'epoch': 0.09}
{'loss': 0.5343, 'learning_rate': 0.0009750554323725056, 'epoch': 0.1}
{'loss': 0.5393, 'learning_rate': 0.000973669623059867, 'epoch': 0.11}
{'loss': 0.5193, 'learning_rate': 0.0009722838137472285, 'epoch': 0.11}
{'loss': 0.4606, 'learning_rate': 0.0009708980044345898, 'epoch': 0.12}
{'loss': 0.5284, 'learning_rate': 0.0009695121951219512, 'epoch': 0.12}
{'loss': 0.4841, 'learning_rate': 0.0009681263858093127, 'epoch': 0.13}
{'loss': 0.5265, 'learning_rate': 0.0009667405764966741, 'epoch': 0.13}
{'loss': 0.489, 'learning_rate': 0.0009653547671840355, 'epoch': 0.14}
{'loss': 0.4639, 'learning_rate': 0.0009639689578713969, 'epoch': 0.14}
{'loss': 0.4719, 'learning_rate': 0.0009625831485587583, 'epoch': 0.15}
{'loss': 0.4772, 'learning_rate': 0.0009611973392461197, 'epoch': 0.16}
{'loss': 0.5197, 'learning_rate': 0.0009598115299334812, 'epoch': 0.16}
{'loss': 0.5216, 'learning_rate': 0.0009584257206208426, 'epoch': 0.17}
{'loss': 0.4726, 'learning_rate': 0.000957039911308204, 'epoch': 0.17}
{'loss': 0.523, 'learning_rate': 0.0009556541019955654, 'epoch': 0.18}
{'loss': 0.5293, 'learning_rate': 0.0009542682926829268, 'epoch': 0.18}
{'loss': 0.5029, 'learning_rate': 0.0009528824833702883, 'epoch': 0.19}
{'loss': 0.4819, 'learning_rate': 0.0009514966740576497, 'epoch': 0.19}
{'loss': 0.5009, 'learning_rate': 0.000950110864745011, 'epoch': 0.2}
{'loss': 0.4761, 'learning_rate': 0.0009487250554323725, 'epoch': 0.21}
{'loss': 0.4492, 'learning_rate': 0.000947339246119734, 'epoch': 0.21}
{'loss': 0.4685, 'learning_rate': 0.0009459534368070953, 'epoch': 0.22}
{'loss': 0.5159, 'learning_rate': 0.0009445676274944568, 'epoch': 0.22}
{'loss': 0.5082, 'learning_rate': 0.0009431818181818183, 'epoch': 0.23}
{'loss': 0.4682, 'learning_rate': 0.0009417960088691796, 'epoch': 0.23}
{'loss': 0.4993, 'learning_rate': 0.000940410199556541, 'epoch': 0.24}
{'loss': 0.4899, 'learning_rate': 0.0009390243902439024, 'epoch': 0.24}
{'loss': 0.489, 'learning_rate': 0.0009376385809312639, 'epoch': 0.25}
{'loss': 0.5035, 'learning_rate': 0.0009362527716186253, 'epoch': 0.25}
{'loss': 0.4582, 'learning_rate': 0.0009348669623059866, 'epoch': 0.26}
{'loss': 0.4336, 'learning_rate': 0.0009334811529933481, 'epoch': 0.27}
{'loss': 0.5351, 'learning_rate': 0.0009320953436807096, 'epoch': 0.27}
{'loss': 0.4787, 'learning_rate': 0.0009307095343680709, 'epoch': 0.28}
{'loss': 0.4023, 'learning_rate': 0.0009293237250554324, 'epoch': 0.28}
{'loss': 0.4507, 'learning_rate': 0.0009279379157427939, 'epoch': 0.29}
{'loss': 0.4625, 'learning_rate': 0.0009265521064301552, 'epoch': 0.29}
{'loss': 0.4351, 'learning_rate': 0.0009251662971175166, 'epoch': 0.3}
{'loss': 0.4461, 'learning_rate': 0.0009237804878048781, 'epoch': 0.3}
{'loss': 0.4648, 'learning_rate': 0.0009223946784922395, 'epoch': 0.31}
{'loss': 0.4669, 'learning_rate': 0.0009210088691796009, 'epoch': 0.32}
{'loss': 0.4741, 'learning_rate': 0.0009196230598669624, 'epoch': 0.32}
{'loss': 0.4893, 'learning_rate': 0.0009182372505543237, 'epoch': 0.33}
{'loss': 0.4702, 'learning_rate': 0.0009168514412416852, 'epoch': 0.33}
{'loss': 0.4463, 'learning_rate': 0.0009154656319290465, 'epoch': 0.34}
{'loss': 0.4655, 'learning_rate': 0.000914079822616408, 'epoch': 0.34}
{'loss': 0.4166, 'learning_rate': 0.0009126940133037695, 'epoch': 0.35}
{'loss': 0.4733, 'learning_rate': 0.0009113082039911308, 'epoch': 0.35}
{'loss': 0.4623, 'learning_rate': 0.0009099223946784922, 'epoch': 0.36}
{'loss': 0.4357, 'learning_rate': 0.0009085365853658537, 'epoch': 0.37}
{'loss': 0.4847, 'learning_rate': 0.0009071507760532151, 'epoch': 0.37}
{'loss': 0.4431, 'learning_rate': 0.0009057649667405765, 'epoch': 0.38}
{'loss': 0.481, 'learning_rate': 0.000904379157427938, 'epoch': 0.38}
{'loss': 0.4735, 'learning_rate': 0.0009029933481152993, 'epoch': 0.39}
{'loss': 0.4618, 'learning_rate': 0.0009016075388026608, 'epoch': 0.39}
{'loss': 0.4782, 'learning_rate': 0.0009002217294900222, 'epoch': 0.4}
{'loss': 0.4836, 'learning_rate': 0.0008988359201773836, 'epoch': 0.4}
{'loss': 0.5125, 'learning_rate': 0.0008974501108647451, 'epoch': 0.41}
{'loss': 0.42, 'learning_rate': 0.0008960643015521065, 'epoch': 0.42}
{'loss': 0.4713, 'learning_rate': 0.0008946784922394678, 'epoch': 0.42}
{'loss': 0.4742, 'learning_rate': 0.0008932926829268293, 'epoch': 0.43}
{'loss': 0.4509, 'learning_rate': 0.0008919068736141908, 'epoch': 0.43}
{'loss': 0.4195, 'learning_rate': 0.0008905210643015521, 'epoch': 0.44}
{'loss': 0.3985, 'learning_rate': 0.0008891352549889135, 'epoch': 0.44}
{'loss': 0.3952, 'learning_rate': 0.0008877494456762749, 'epoch': 0.45}
{'loss': 0.4355, 'learning_rate': 0.0008863636363636364, 'epoch': 0.45}
{'loss': 0.4104, 'learning_rate': 0.0008849778270509978, 'epoch': 0.46}
{'loss': 0.4331, 'learning_rate': 0.0008835920177383592, 'epoch': 0.47}
{'loss': 0.4596, 'learning_rate': 0.0008822062084257207, 'epoch': 0.47}
{'loss': 0.4156, 'learning_rate': 0.0008808203991130821, 'epoch': 0.48}
{'loss': 0.4329, 'learning_rate': 0.0008794345898004434, 'epoch': 0.48}
{'loss': 0.4206, 'learning_rate': 0.0008780487804878049, 'epoch': 0.49}
{'loss': 0.407, 'learning_rate': 0.0008766629711751664, 'epoch': 0.49}
{'loss': 0.4516, 'learning_rate': 0.0008752771618625277, 'epoch': 0.5}
{'loss': 0.4094, 'learning_rate': 0.0008738913525498891, 'epoch': 0.5}
{'loss': 0.4742, 'learning_rate': 0.0008725055432372506, 'epoch': 0.51}
{'loss': 0.4354, 'learning_rate': 0.000871119733924612, 'epoch': 0.52}
{'loss': 0.4943, 'learning_rate': 0.0008697339246119734, 'epoch': 0.52}
{'loss': 0.4614, 'learning_rate': 0.0008683481152993349, 'epoch': 0.53}
{'loss': 0.4264, 'learning_rate': 0.0008669623059866963, 'epoch': 0.53}
{'loss': 0.4082, 'learning_rate': 0.0008655764966740577, 'epoch': 0.54}
{'loss': 0.4204, 'learning_rate': 0.000864190687361419, 'epoch': 0.54}
{'loss': 0.4092, 'learning_rate': 0.0008628048780487805, 'epoch': 0.55}
{'loss': 0.3903, 'learning_rate': 0.000861419068736142, 'epoch': 0.55}
{'loss': 0.4115, 'learning_rate': 0.0008600332594235033, 'epoch': 0.56}
{'loss': 0.4098, 'learning_rate': 0.0008586474501108647, 'epoch': 0.57}
{'loss': 0.41, 'learning_rate': 0.0008572616407982262, 'epoch': 0.57}
{'loss': 0.3751, 'learning_rate': 0.0008558758314855876, 'epoch': 0.58}
{'loss': 0.419, 'learning_rate': 0.000854490022172949, 'epoch': 0.58}
{'loss': 0.4616, 'learning_rate': 0.0008531042128603105, 'epoch': 0.59}
{'loss': 0.4309, 'learning_rate': 0.0008517184035476718, 'epoch': 0.59}
{'loss': 0.4883, 'learning_rate': 0.0008503325942350333, 'epoch': 0.6}
{'loss': 0.4257, 'learning_rate': 0.0008489467849223947, 'epoch': 0.6}
{'loss': 0.3911, 'learning_rate': 0.0008475609756097561, 'epoch': 0.61}
{'loss': 0.422, 'learning_rate': 0.0008461751662971176, 'epoch': 0.62}
{'loss': 0.4087, 'learning_rate': 0.000844789356984479, 'epoch': 0.62}
{'loss': 0.4498, 'learning_rate': 0.0008434035476718403, 'epoch': 0.63}
{'loss': 0.4347, 'learning_rate': 0.0008420177383592018, 'epoch': 0.63}
{'loss': 0.3774, 'learning_rate': 0.0008406319290465632, 'epoch': 0.64}
{'loss': 0.4066, 'learning_rate': 0.0008392461197339246, 'epoch': 0.64}
{'loss': 0.3858, 'learning_rate': 0.0008378603104212861, 'epoch': 0.65}
{'loss': 0.4308, 'learning_rate': 0.0008364745011086474, 'epoch': 0.65}
{'loss': 0.4164, 'learning_rate': 0.0008350886917960089, 'epoch': 0.66}
{'loss': 0.4223, 'learning_rate': 0.0008337028824833703, 'epoch': 0.67}
{'loss': 0.385, 'learning_rate': 0.0008323170731707317, 'epoch': 0.67}
{'loss': 0.4244, 'learning_rate': 0.0008309312638580932, 'epoch': 0.68}
{'loss': 0.4359, 'learning_rate': 0.0008295454545454546, 'epoch': 0.68}
{'loss': 0.4146, 'learning_rate': 0.0008281596452328159, 'epoch': 0.69}
{'loss': 0.4042, 'learning_rate': 0.0008267738359201774, 'epoch': 0.69}
{'loss': 0.4171, 'learning_rate': 0.0008253880266075389, 'epoch': 0.7}
{'loss': 0.3733, 'learning_rate': 0.0008240022172949002, 'epoch': 0.7}
{'loss': 0.4398, 'learning_rate': 0.0008226164079822617, 'epoch': 0.71}
{'loss': 0.439, 'learning_rate': 0.0008212305986696231, 'epoch': 0.72}
{'loss': 0.4176, 'learning_rate': 0.0008198447893569845, 'epoch': 0.72}
{'loss': 0.4152, 'learning_rate': 0.0008184589800443459, 'epoch': 0.73}
{'loss': 0.4101, 'learning_rate': 0.0008170731707317073, 'epoch': 0.73}
{'loss': 0.4381, 'learning_rate': 0.0008156873614190688, 'epoch': 0.74}
{'loss': 0.4197, 'learning_rate': 0.0008143015521064301, 'epoch': 0.74}
{'loss': 0.4036, 'learning_rate': 0.0008129157427937915, 'epoch': 0.75}
{'loss': 0.4175, 'learning_rate': 0.000811529933481153, 'epoch': 0.75}
{'loss': 0.4719, 'learning_rate': 0.0008101441241685145, 'epoch': 0.76}
{'loss': 0.3828, 'learning_rate': 0.0008087583148558758, 'epoch': 0.76}
{'loss': 0.4238, 'learning_rate': 0.0008073725055432373, 'epoch': 0.77}
{'loss': 0.4053, 'learning_rate': 0.0008059866962305987, 'epoch': 0.78}
{'loss': 0.4044, 'learning_rate': 0.0008046008869179601, 'epoch': 0.78}
{'loss': 0.4323, 'learning_rate': 0.0008032150776053215, 'epoch': 0.79}
{'loss': 0.4282, 'learning_rate': 0.000801829268292683, 'epoch': 0.79}
{'loss': 0.3805, 'learning_rate': 0.0008004434589800444, 'epoch': 0.8}
{'loss': 0.4112, 'learning_rate': 0.0007990576496674057, 'epoch': 0.8}
{'loss': 0.4112, 'learning_rate': 0.0007976718403547672, 'epoch': 0.81}
{'loss': 0.3738, 'learning_rate': 0.0007962860310421286, 'epoch': 0.81}
{'loss': 0.4066, 'learning_rate': 0.0007949002217294901, 'epoch': 0.82}
{'loss': 0.4563, 'learning_rate': 0.0007935144124168514, 'epoch': 0.83}
{'loss': 0.4464, 'learning_rate': 0.0007921286031042129, 'epoch': 0.83}
{'loss': 0.4389, 'learning_rate': 0.0007907427937915743, 'epoch': 0.84}
{'loss': 0.4073, 'learning_rate': 0.0007893569844789357, 'epoch': 0.84}
{'loss': 0.4337, 'learning_rate': 0.0007879711751662971, 'epoch': 0.85}
{'loss': 0.4152, 'learning_rate': 0.0007865853658536586, 'epoch': 0.85}
{'loss': 0.4504, 'learning_rate': 0.00078519955654102, 'epoch': 0.86}
{'loss': 0.4517, 'learning_rate': 0.0007838137472283813, 'epoch': 0.86}
{'loss': 0.3714, 'learning_rate': 0.0007824279379157428, 'epoch': 0.87}
{'loss': 0.3691, 'learning_rate': 0.0007810421286031042, 'epoch': 0.88}
{'loss': 0.3904, 'learning_rate': 0.0007796563192904657, 'epoch': 0.88}
{'loss': 0.4154, 'learning_rate': 0.0007782705099778271, 'epoch': 0.89}
{'loss': 0.3711, 'learning_rate': 0.0007768847006651885, 'epoch': 0.89}
{'loss': 0.399, 'learning_rate': 0.0007754988913525499, 'epoch': 0.9}
{'loss': 0.3885, 'learning_rate': 0.0007741130820399114, 'epoch': 0.9}
{'loss': 0.3864, 'learning_rate': 0.0007727272727272727, 'epoch': 0.91}
{'loss': 0.4139, 'learning_rate': 0.0007713414634146342, 'epoch': 0.91}
{'loss': 0.412, 'learning_rate': 0.0007699556541019956, 'epoch': 0.92}
{'loss': 0.4213, 'learning_rate': 0.0007685698447893569, 'epoch': 0.93}
{'loss': 0.4109, 'learning_rate': 0.0007671840354767184, 'epoch': 0.93}
{'loss': 0.4064, 'learning_rate': 0.0007657982261640798, 'epoch': 0.94}
{'loss': 0.4343, 'learning_rate': 0.0007644124168514413, 'epoch': 0.94}
{'loss': 0.375, 'learning_rate': 0.0007630266075388027, 'epoch': 0.95}
{'loss': 0.3933, 'learning_rate': 0.000761640798226164, 'epoch': 0.95}
{'loss': 0.3974, 'learning_rate': 0.0007602549889135255, 'epoch': 0.96}
{'loss': 0.4079, 'learning_rate': 0.000758869179600887, 'epoch': 0.96}
{'loss': 0.4132, 'learning_rate': 0.0007574833702882483, 'epoch': 0.97}
{'loss': 0.3673, 'learning_rate': 0.0007560975609756098, 'epoch': 0.98}
{'loss': 0.3784, 'learning_rate': 0.0007547117516629713, 'epoch': 0.98}
{'loss': 0.3779, 'learning_rate': 0.0007533259423503325, 'epoch': 0.99}
{'loss': 0.4558, 'learning_rate': 0.000751940133037694, 'epoch': 0.99}
{'loss': 0.407, 'learning_rate': 0.0007505543237250555, 'epoch': 1.0}
{'loss': 0.411, 'learning_rate': 0.0007491685144124169, 'epoch': 1.0}
{'loss': 0.3987, 'learning_rate': 0.0007477827050997783, 'epoch': 1.01}
{'loss': 0.4333, 'learning_rate': 0.0007463968957871396, 'epoch': 1.01}
{'loss': 0.4028, 'learning_rate': 0.0007450110864745011, 'epoch': 1.02}
{'loss': 0.371, 'learning_rate': 0.0007436252771618626, 'epoch': 1.03}
{'loss': 0.361, 'learning_rate': 0.0007422394678492239, 'epoch': 1.03}
{'loss': 0.3783, 'learning_rate': 0.0007408536585365854, 'epoch': 1.04}
{'loss': 0.3873, 'learning_rate': 0.0007394678492239469, 'epoch': 1.04}
{'loss': 0.4299, 'learning_rate': 0.0007380820399113081, 'epoch': 1.05}
{'loss': 0.3869, 'learning_rate': 0.0007366962305986696, 'epoch': 1.05}
{'loss': 0.4118, 'learning_rate': 0.0007353104212860311, 'epoch': 1.06}
{'loss': 0.4173, 'learning_rate': 0.0007339246119733925, 'epoch': 1.06}
{'loss': 0.4187, 'learning_rate': 0.0007325388026607539, 'epoch': 1.07}
{'loss': 0.4046, 'learning_rate': 0.0007311529933481153, 'epoch': 1.08}
{'loss': 0.3987, 'learning_rate': 0.0007297671840354767, 'epoch': 1.08}
{'loss': 0.4231, 'learning_rate': 0.0007283813747228382, 'epoch': 1.09}
{'loss': 0.3975, 'learning_rate': 0.0007269955654101996, 'epoch': 1.09}
{'loss': 0.4329, 'learning_rate': 0.000725609756097561, 'epoch': 1.1}
{'loss': 0.4238, 'learning_rate': 0.0007242239467849225, 'epoch': 1.1}
{'loss': 0.4164, 'learning_rate': 0.0007228381374722837, 'epoch': 1.11}
{'loss': 0.3947, 'learning_rate': 0.0007214523281596452, 'epoch': 1.11}
{'loss': 0.4349, 'learning_rate': 0.0007200665188470067, 'epoch': 1.12}
{'loss': 0.4148, 'learning_rate': 0.0007186807095343681, 'epoch': 1.13}
{'loss': 0.4065, 'learning_rate': 0.0007172949002217295, 'epoch': 1.13}
{'loss': 0.4189, 'learning_rate': 0.0007159090909090909, 'epoch': 1.14}
{'loss': 0.3895, 'learning_rate': 0.0007145232815964523, 'epoch': 1.14}
{'loss': 0.4064, 'learning_rate': 0.0007131374722838138, 'epoch': 1.15}
{'loss': 0.3701, 'learning_rate': 0.0007117516629711752, 'epoch': 1.15}
{'loss': 0.4164, 'learning_rate': 0.0007103658536585366, 'epoch': 1.16}
{'loss': 0.4356, 'learning_rate': 0.000708980044345898, 'epoch': 1.16}
{'loss': 0.3393, 'learning_rate': 0.0007075942350332594, 'epoch': 1.17}
{'loss': 0.3678, 'learning_rate': 0.0007062084257206208, 'epoch': 1.18}
{'loss': 0.4153, 'learning_rate': 0.0007048226164079823, 'epoch': 1.18}
{'loss': 0.4321, 'learning_rate': 0.0007034368070953438, 'epoch': 1.19}
{'loss': 0.4334, 'learning_rate': 0.000702050997782705, 'epoch': 1.19}
{'loss': 0.3943, 'learning_rate': 0.0007006651884700665, 'epoch': 1.2}
{'loss': 0.3987, 'learning_rate': 0.0006992793791574279, 'epoch': 1.2}
{'loss': 0.3648, 'learning_rate': 0.0006978935698447894, 'epoch': 1.21}
{'loss': 0.3608, 'learning_rate': 0.0006965077605321508, 'epoch': 1.21}
{'loss': 0.409, 'learning_rate': 0.0006951219512195122, 'epoch': 1.22}
{'loss': 0.419, 'learning_rate': 0.0006937361419068736, 'epoch': 1.23}
{'loss': 0.369, 'learning_rate': 0.000692350332594235, 'epoch': 1.23}
{'loss': 0.4185, 'learning_rate': 0.0006909645232815964, 'epoch': 1.24}
{'loss': 0.4453, 'learning_rate': 0.0006895787139689579, 'epoch': 1.24}
{'loss': 0.3846, 'learning_rate': 0.0006881929046563194, 'epoch': 1.25}
{'loss': 0.3577, 'learning_rate': 0.0006868070953436806, 'epoch': 1.25}
{'loss': 0.4334, 'learning_rate': 0.0006854212860310421, 'epoch': 1.26}
{'loss': 0.3868, 'learning_rate': 0.0006840354767184036, 'epoch': 1.26}
{'loss': 0.4081, 'learning_rate': 0.000682649667405765, 'epoch': 1.27}
{'loss': 0.4082, 'learning_rate': 0.0006812638580931264, 'epoch': 1.27}
{'loss': 0.3955, 'learning_rate': 0.0006798780487804879, 'epoch': 1.28}
{'loss': 0.3652, 'learning_rate': 0.0006784922394678492, 'epoch': 1.29}
{'loss': 0.411, 'learning_rate': 0.0006771064301552106, 'epoch': 1.29}
{'loss': 0.3547, 'learning_rate': 0.0006757206208425721, 'epoch': 1.3}
{'loss': 0.4086, 'learning_rate': 0.0006743348115299335, 'epoch': 1.3}
{'loss': 0.4118, 'learning_rate': 0.000672949002217295, 'epoch': 1.31}
{'loss': 0.3499, 'learning_rate': 0.0006715631929046562, 'epoch': 1.31}
{'loss': 0.373, 'learning_rate': 0.0006701773835920177, 'epoch': 1.32}
{'loss': 0.3886, 'learning_rate': 0.0006687915742793792, 'epoch': 1.32}
{'loss': 0.3784, 'learning_rate': 0.0006674057649667406, 'epoch': 1.33}
{'loss': 0.4172, 'learning_rate': 0.000666019955654102, 'epoch': 1.34}
{'loss': 0.4093, 'learning_rate': 0.0006646341463414635, 'epoch': 1.34}
{'loss': 0.4542, 'learning_rate': 0.0006632483370288248, 'epoch': 1.35}
{'loss': 0.3906, 'learning_rate': 0.0006618625277161862, 'epoch': 1.35}
{'loss': 0.455, 'learning_rate': 0.0006604767184035477, 'epoch': 1.36}
{'loss': 0.3778, 'learning_rate': 0.0006590909090909091, 'epoch': 1.36}
{'loss': 0.3931, 'learning_rate': 0.0006577050997782706, 'epoch': 1.37}
{'loss': 0.3707, 'learning_rate': 0.000656319290465632, 'epoch': 1.37}
{'loss': 0.4232, 'learning_rate': 0.0006549334811529933, 'epoch': 1.38}
{'loss': 0.3708, 'learning_rate': 0.0006535476718403548, 'epoch': 1.39}
{'loss': 0.3717, 'learning_rate': 0.0006521618625277163, 'epoch': 1.39}
{'loss': 0.3678, 'learning_rate': 0.0006507760532150776, 'epoch': 1.4}
{'loss': 0.3953, 'learning_rate': 0.0006493902439024391, 'epoch': 1.4}
{'loss': 0.4009, 'learning_rate': 0.0006480044345898004, 'epoch': 1.41}
{'loss': 0.4182, 'learning_rate': 0.0006466186252771618, 'epoch': 1.41}
{'loss': 0.3411, 'learning_rate': 0.0006452328159645233, 'epoch': 1.42}
{'loss': 0.4121, 'learning_rate': 0.0006438470066518847, 'epoch': 1.42}
{'loss': 0.3997, 'learning_rate': 0.0006424611973392462, 'epoch': 1.43}
{'loss': 0.402, 'learning_rate': 0.0006410753880266075, 'epoch': 1.44}
{'loss': 0.4052, 'learning_rate': 0.0006396895787139689, 'epoch': 1.44}
{'loss': 0.4073, 'learning_rate': 0.0006383037694013304, 'epoch': 1.45}
{'loss': 0.4517, 'learning_rate': 0.0006369179600886919, 'epoch': 1.45}
{'loss': 0.4226, 'learning_rate': 0.0006355321507760532, 'epoch': 1.46}
{'loss': 0.4035, 'learning_rate': 0.0006341463414634147, 'epoch': 1.46}
{'loss': 0.4173, 'learning_rate': 0.0006327605321507761, 'epoch': 1.47}
{'loss': 0.3573, 'learning_rate': 0.0006313747228381374, 'epoch': 1.47}
{'loss': 0.4302, 'learning_rate': 0.0006299889135254989, 'epoch': 1.48}
{'loss': 0.3891, 'learning_rate': 0.0006286031042128604, 'epoch': 1.49}
{'loss': 0.3992, 'learning_rate': 0.0006272172949002218, 'epoch': 1.49}
{'loss': 0.3835, 'learning_rate': 0.0006258314855875831, 'epoch': 1.5}
{'loss': 0.3733, 'learning_rate': 0.0006244456762749445, 'epoch': 1.5}
{'loss': 0.395, 'learning_rate': 0.000623059866962306, 'epoch': 1.51}
{'loss': 0.4069, 'learning_rate': 0.0006216740576496675, 'epoch': 1.51}
{'loss': 0.3833, 'learning_rate': 0.0006202882483370288, 'epoch': 1.52}
{'loss': 0.4325, 'learning_rate': 0.0006189024390243903, 'epoch': 1.52}
{'loss': 0.3644, 'learning_rate': 0.0006175166297117517, 'epoch': 1.53}
{'loss': 0.312, 'learning_rate': 0.000616130820399113, 'epoch': 1.54}
