Initializing soft prompt...
data/train_SQuAD.pt
data/validation_SQuAD.pt
data/test_DuoRC.ParaphraseRC.pt
{'loss': 0.3583, 'learning_rate': 0.0009998845105557352, 'epoch': 0.0}
{'loss': 0.321, 'learning_rate': 0.0009997690211114704, 'epoch': 0.0}
{'loss': 0.3843, 'learning_rate': 0.0009996535316672056, 'epoch': 0.0}
{'loss': 0.2531, 'learning_rate': 0.000999538042222941, 'epoch': 0.0}
{'loss': 0.3587, 'learning_rate': 0.000999422552778676, 'epoch': 0.0}
{'loss': 0.2945, 'learning_rate': 0.0009993070633344113, 'epoch': 0.0}
{'loss': 0.3851, 'learning_rate': 0.0009991915738901465, 'epoch': 0.0}
{'loss': 0.402, 'learning_rate': 0.0009990760844458817, 'epoch': 0.0}
{'loss': 0.2933, 'learning_rate': 0.000998960595001617, 'epoch': 0.0}
{'loss': 0.3525, 'learning_rate': 0.000998845105557352, 'epoch': 0.0}
{'loss': 0.2808, 'learning_rate': 0.0009987296161130873, 'epoch': 0.01}
{'loss': 0.384, 'learning_rate': 0.0009986141266688224, 'epoch': 0.01}
{'loss': 0.4415, 'learning_rate': 0.0009984986372245576, 'epoch': 0.01}
{'loss': 0.2377, 'learning_rate': 0.000998383147780293, 'epoch': 0.01}
{'loss': 0.2166, 'learning_rate': 0.000998267658336028, 'epoch': 0.01}
{'loss': 0.1854, 'learning_rate': 0.0009981521688917634, 'epoch': 0.01}
{'loss': 0.3336, 'learning_rate': 0.0009980366794474986, 'epoch': 0.01}
{'loss': 0.3905, 'learning_rate': 0.0009979211900032338, 'epoch': 0.01}
{'loss': 0.2594, 'learning_rate': 0.000997805700558969, 'epoch': 0.01}
{'loss': 0.2969, 'learning_rate': 0.0009976902111147041, 'epoch': 0.01}
{'loss': 0.3123, 'learning_rate': 0.0009975747216704393, 'epoch': 0.01}
{'loss': 0.3226, 'learning_rate': 0.0009974592322261745, 'epoch': 0.01}
{'loss': 0.5305, 'learning_rate': 0.0009973437427819097, 'epoch': 0.01}
{'loss': 0.1982, 'learning_rate': 0.000997228253337645, 'epoch': 0.01}
{'loss': 0.2334, 'learning_rate': 0.00099711276389338, 'epoch': 0.01}
{'loss': 0.442, 'learning_rate': 0.0009969972744491155, 'epoch': 0.01}
{'loss': 0.3696, 'learning_rate': 0.0009968817850048506, 'epoch': 0.01}
{'loss': 0.2364, 'learning_rate': 0.0009967662955605858, 'epoch': 0.01}
{'loss': 0.3091, 'learning_rate': 0.000996650806116321, 'epoch': 0.01}
{'loss': 0.2744, 'learning_rate': 0.0009965353166720562, 'epoch': 0.01}
{'loss': 0.2674, 'learning_rate': 0.0009964198272277914, 'epoch': 0.01}
{'loss': 0.311, 'learning_rate': 0.0009963043377835266, 'epoch': 0.01}
{'loss': 0.2496, 'learning_rate': 0.0009961888483392618, 'epoch': 0.02}
{'loss': 0.3593, 'learning_rate': 0.0009960733588949972, 'epoch': 0.02}
{'loss': 0.4594, 'learning_rate': 0.0009959578694507321, 'epoch': 0.02}
{'loss': 0.2354, 'learning_rate': 0.0009958423800064675, 'epoch': 0.02}
{'loss': 0.4289, 'learning_rate': 0.0009957268905622027, 'epoch': 0.02}
{'loss': 0.4425, 'learning_rate': 0.0009956114011179379, 'epoch': 0.02}
{'loss': 0.4334, 'learning_rate': 0.000995495911673673, 'epoch': 0.02}
{'loss': 0.2957, 'learning_rate': 0.0009953804222294083, 'epoch': 0.02}
{'loss': 0.4383, 'learning_rate': 0.0009952649327851434, 'epoch': 0.02}
{'loss': 0.2885, 'learning_rate': 0.0009951494433408786, 'epoch': 0.02}
{'loss': 0.3422, 'learning_rate': 0.0009950339538966138, 'epoch': 0.02}
{'loss': 0.2142, 'learning_rate': 0.0009949184644523492, 'epoch': 0.02}
{'loss': 0.3423, 'learning_rate': 0.0009948029750080842, 'epoch': 0.02}
{'loss': 0.5184, 'learning_rate': 0.0009946874855638196, 'epoch': 0.02}
{'loss': 0.3498, 'learning_rate': 0.0009945719961195548, 'epoch': 0.02}
{'loss': 0.2703, 'learning_rate': 0.00099445650667529, 'epoch': 0.02}
{'loss': 0.2744, 'learning_rate': 0.0009943410172310251, 'epoch': 0.02}
{'loss': 0.2559, 'learning_rate': 0.0009942255277867603, 'epoch': 0.02}
{'loss': 0.3047, 'learning_rate': 0.0009941100383424955, 'epoch': 0.02}
{'loss': 0.3155, 'learning_rate': 0.0009939945488982307, 'epoch': 0.02}
{'loss': 0.3467, 'learning_rate': 0.0009938790594539659, 'epoch': 0.02}
{'loss': 0.2908, 'learning_rate': 0.000993763570009701, 'epoch': 0.02}
{'loss': 0.3278, 'learning_rate': 0.0009936480805654362, 'epoch': 0.03}
{'loss': 0.2742, 'learning_rate': 0.0009935325911211716, 'epoch': 0.03}
{'loss': 0.3312, 'learning_rate': 0.0009934171016769068, 'epoch': 0.03}
{'loss': 0.3361, 'learning_rate': 0.000993301612232642, 'epoch': 0.03}
{'loss': 0.2307, 'learning_rate': 0.0009931861227883772, 'epoch': 0.03}
{'loss': 0.3141, 'learning_rate': 0.0009930706333441124, 'epoch': 0.03}
{'loss': 0.3941, 'learning_rate': 0.0009929551438998476, 'epoch': 0.03}
{'loss': 0.1825, 'learning_rate': 0.0009928396544555827, 'epoch': 0.03}
{'loss': 0.4932, 'learning_rate': 0.000992724165011318, 'epoch': 0.03}
{'loss': 0.5002, 'learning_rate': 0.0009926086755670531, 'epoch': 0.03}
{'loss': 0.3916, 'learning_rate': 0.0009924931861227883, 'epoch': 0.03}
{'loss': 0.3336, 'learning_rate': 0.0009923776966785237, 'epoch': 0.03}
{'loss': 0.4063, 'learning_rate': 0.0009922622072342589, 'epoch': 0.03}
{'loss': 0.3429, 'learning_rate': 0.000992146717789994, 'epoch': 0.03}
{'loss': 0.2563, 'learning_rate': 0.0009920312283457293, 'epoch': 0.03}
{'loss': 0.3759, 'learning_rate': 0.0009919157389014644, 'epoch': 0.03}
{'loss': 0.3186, 'learning_rate': 0.0009918002494571996, 'epoch': 0.03}
{'loss': 0.296, 'learning_rate': 0.0009916847600129348, 'epoch': 0.03}
{'loss': 0.3653, 'learning_rate': 0.00099156927056867, 'epoch': 0.03}
{'loss': 0.4232, 'learning_rate': 0.0009914537811244052, 'epoch': 0.03}
{'loss': 0.3607, 'learning_rate': 0.0009913382916801404, 'epoch': 0.03}
{'loss': 0.2639, 'learning_rate': 0.0009912228022358758, 'epoch': 0.04}
{'loss': 0.3417, 'learning_rate': 0.0009911073127916107, 'epoch': 0.04}
{'loss': 0.2647, 'learning_rate': 0.0009909918233473461, 'epoch': 0.04}
{'loss': 0.4051, 'learning_rate': 0.0009908763339030813, 'epoch': 0.04}
{'loss': 0.2745, 'learning_rate': 0.0009907608444588165, 'epoch': 0.04}
{'loss': 0.468, 'learning_rate': 0.0009906453550145517, 'epoch': 0.04}
{'loss': 0.2184, 'learning_rate': 0.0009905298655702869, 'epoch': 0.04}
{'loss': 0.3704, 'learning_rate': 0.000990414376126022, 'epoch': 0.04}
{'loss': 0.2218, 'learning_rate': 0.0009902988866817572, 'epoch': 0.04}
{'loss': 0.2897, 'learning_rate': 0.0009901833972374924, 'epoch': 0.04}
{'loss': 0.412, 'learning_rate': 0.0009900679077932278, 'epoch': 0.04}
{'loss': 0.3282, 'learning_rate': 0.0009899524183489628, 'epoch': 0.04}
{'loss': 0.3005, 'learning_rate': 0.0009898369289046982, 'epoch': 0.04}
{'loss': 0.3319, 'learning_rate': 0.0009897214394604334, 'epoch': 0.04}
{'loss': 0.3432, 'learning_rate': 0.0009896059500161686, 'epoch': 0.04}
{'loss': 0.3672, 'learning_rate': 0.0009894904605719037, 'epoch': 0.04}
{'loss': 0.4781, 'learning_rate': 0.000989374971127639, 'epoch': 0.04}
{'loss': 0.2698, 'learning_rate': 0.000989259481683374, 'epoch': 0.04}
{'loss': 0.2853, 'learning_rate': 0.0009891439922391093, 'epoch': 0.04}
{'loss': 0.3272, 'learning_rate': 0.0009890285027948445, 'epoch': 0.04}
{'loss': 0.44, 'learning_rate': 0.0009889130133505799, 'epoch': 0.04}
{'loss': 0.2724, 'learning_rate': 0.0009887975239063148, 'epoch': 0.04}
{'loss': 0.2807, 'learning_rate': 0.0009886820344620502, 'epoch': 0.05}
{'loss': 0.4183, 'learning_rate': 0.0009885665450177854, 'epoch': 0.05}
{'loss': 0.285, 'learning_rate': 0.0009884510555735206, 'epoch': 0.05}
{'loss': 0.4123, 'learning_rate': 0.0009883355661292558, 'epoch': 0.05}
{'loss': 0.2612, 'learning_rate': 0.000988220076684991, 'epoch': 0.05}
{'loss': 0.3095, 'learning_rate': 0.0009881045872407262, 'epoch': 0.05}
{'loss': 0.3726, 'learning_rate': 0.0009879890977964613, 'epoch': 0.05}
{'loss': 0.3926, 'learning_rate': 0.0009878736083521965, 'epoch': 0.05}
{'loss': 0.2739, 'learning_rate': 0.000987758118907932, 'epoch': 0.05}
{'loss': 0.3192, 'learning_rate': 0.000987642629463667, 'epoch': 0.05}
{'loss': 0.2744, 'learning_rate': 0.0009875271400194023, 'epoch': 0.05}
{'loss': 0.2676, 'learning_rate': 0.0009874116505751375, 'epoch': 0.05}
{'loss': 0.4138, 'learning_rate': 0.0009872961611308727, 'epoch': 0.05}
{'loss': 0.2227, 'learning_rate': 0.0009871806716866079, 'epoch': 0.05}
{'loss': 0.3116, 'learning_rate': 0.000987065182242343, 'epoch': 0.05}
{'loss': 0.3087, 'learning_rate': 0.0009869496927980782, 'epoch': 0.05}
{'loss': 0.2799, 'learning_rate': 0.0009868342033538134, 'epoch': 0.05}
{'loss': 0.3207, 'learning_rate': 0.0009867187139095488, 'epoch': 0.05}
{'loss': 0.3733, 'learning_rate': 0.000986603224465284, 'epoch': 0.05}
{'loss': 0.3069, 'learning_rate': 0.0009864877350210192, 'epoch': 0.05}
{'loss': 0.3886, 'learning_rate': 0.0009863722455767544, 'epoch': 0.05}
{'loss': 0.2957, 'learning_rate': 0.0009862567561324895, 'epoch': 0.05}
{'loss': 0.2728, 'learning_rate': 0.0009861412666882247, 'epoch': 0.06}
{'loss': 0.3623, 'learning_rate': 0.00098602577724396, 'epoch': 0.06}
{'loss': 0.3135, 'learning_rate': 0.000985910287799695, 'epoch': 0.06}
{'loss': 0.3731, 'learning_rate': 0.0009857947983554303, 'epoch': 0.06}
{'loss': 0.3703, 'learning_rate': 0.0009856793089111655, 'epoch': 0.06}
{'loss': 0.4059, 'learning_rate': 0.0009855638194669009, 'epoch': 0.06}
{'loss': 0.3042, 'learning_rate': 0.0009854483300226358, 'epoch': 0.06}
{'loss': 0.2656, 'learning_rate': 0.0009853328405783712, 'epoch': 0.06}
{'loss': 0.3489, 'learning_rate': 0.0009852173511341064, 'epoch': 0.06}
{'loss': 0.377, 'learning_rate': 0.0009851018616898416, 'epoch': 0.06}
{'loss': 0.2537, 'learning_rate': 0.0009849863722455768, 'epoch': 0.06}
{'loss': 0.3248, 'learning_rate': 0.000984870882801312, 'epoch': 0.06}
{'loss': 0.2488, 'learning_rate': 0.0009847553933570472, 'epoch': 0.06}
{'loss': 0.3811, 'learning_rate': 0.0009846399039127823, 'epoch': 0.06}
{'loss': 0.4001, 'learning_rate': 0.0009845244144685175, 'epoch': 0.06}
{'loss': 0.2964, 'learning_rate': 0.000984408925024253, 'epoch': 0.06}
{'loss': 0.286, 'learning_rate': 0.000984293435579988, 'epoch': 0.06}
{'loss': 0.2061, 'learning_rate': 0.0009841779461357233, 'epoch': 0.06}
{'loss': 0.404, 'learning_rate': 0.0009840624566914585, 'epoch': 0.06}
{'loss': 0.2568, 'learning_rate': 0.0009839469672471937, 'epoch': 0.06}
{'loss': 0.3003, 'learning_rate': 0.0009838314778029288, 'epoch': 0.06}
{'loss': 0.3108, 'learning_rate': 0.000983715988358664, 'epoch': 0.07}
{'loss': 0.3592, 'learning_rate': 0.0009836004989143992, 'epoch': 0.07}
{'loss': 0.1422, 'learning_rate': 0.0009834850094701344, 'epoch': 0.07}
{'loss': 0.3327, 'learning_rate': 0.0009833695200258696, 'epoch': 0.07}
{'loss': 0.3773, 'learning_rate': 0.000983254030581605, 'epoch': 0.07}
{'loss': 0.3274, 'learning_rate': 0.00098313854113734, 'epoch': 0.07}
{'loss': 0.3469, 'learning_rate': 0.0009830230516930754, 'epoch': 0.07}
{'loss': 0.26, 'learning_rate': 0.0009829075622488105, 'epoch': 0.07}
{'loss': 0.2748, 'learning_rate': 0.0009827920728045457, 'epoch': 0.07}
{'loss': 0.2411, 'learning_rate': 0.000982676583360281, 'epoch': 0.07}
{'loss': 0.3585, 'learning_rate': 0.000982561093916016, 'epoch': 0.07}
{'loss': 0.2484, 'learning_rate': 0.0009824456044717513, 'epoch': 0.07}
{'loss': 0.3462, 'learning_rate': 0.0009823301150274865, 'epoch': 0.07}
{'loss': 0.3752, 'learning_rate': 0.0009822146255832216, 'epoch': 0.07}
{'loss': 0.3418, 'learning_rate': 0.000982099136138957, 'epoch': 0.07}
{'loss': 0.2082, 'learning_rate': 0.000981983646694692, 'epoch': 0.07}
{'loss': 0.344, 'learning_rate': 0.0009818681572504274, 'epoch': 0.07}
{'loss': 0.2103, 'learning_rate': 0.0009817526678061626, 'epoch': 0.07}
{'loss': 0.2252, 'learning_rate': 0.0009816371783618978, 'epoch': 0.07}
{'loss': 0.403, 'learning_rate': 0.000981521688917633, 'epoch': 0.07}
{'loss': 0.4191, 'learning_rate': 0.0009814061994733682, 'epoch': 0.07}
{'loss': 0.3657, 'learning_rate': 0.0009812907100291033, 'epoch': 0.07}
{'loss': 0.1958, 'learning_rate': 0.0009811752205848385, 'epoch': 0.08}
{'loss': 0.2469, 'learning_rate': 0.0009810597311405737, 'epoch': 0.08}
{'loss': 0.281, 'learning_rate': 0.000980944241696309, 'epoch': 0.08}
{'loss': 0.2525, 'learning_rate': 0.000980828752252044, 'epoch': 0.08}
{'loss': 0.3638, 'learning_rate': 0.0009807132628077795, 'epoch': 0.08}
{'loss': 0.2165, 'learning_rate': 0.0009805977733635147, 'epoch': 0.08}
{'loss': 0.3868, 'learning_rate': 0.0009804822839192498, 'epoch': 0.08}
{'loss': 0.4024, 'learning_rate': 0.000980366794474985, 'epoch': 0.08}
{'loss': 0.3085, 'learning_rate': 0.0009802513050307202, 'epoch': 0.08}
{'loss': 0.4061, 'learning_rate': 0.0009801358155864554, 'epoch': 0.08}
{'loss': 0.3515, 'learning_rate': 0.0009800203261421906, 'epoch': 0.08}
{'loss': 0.3585, 'learning_rate': 0.0009799048366979258, 'epoch': 0.08}
{'loss': 0.2534, 'learning_rate': 0.0009797893472536612, 'epoch': 0.08}
{'loss': 0.2277, 'learning_rate': 0.0009796738578093961, 'epoch': 0.08}
{'loss': 0.3744, 'learning_rate': 0.0009795583683651315, 'epoch': 0.08}
{'loss': 0.5698, 'learning_rate': 0.0009794428789208667, 'epoch': 0.08}
{'loss': 0.2019, 'learning_rate': 0.000979327389476602, 'epoch': 0.08}
{'loss': 0.2157, 'learning_rate': 0.000979211900032337, 'epoch': 0.08}
{'loss': 0.1814, 'learning_rate': 0.0009790964105880723, 'epoch': 0.08}
{'loss': 0.3218, 'learning_rate': 0.0009789809211438075, 'epoch': 0.08}
