Initializing soft prompt...
data/test_DuoRC.ParaphraseRC.pt
{'loss': 2.3483, 'learning_rate': 0.0009996592380562938, 'epoch': 0.0}
{'loss': 2.476, 'learning_rate': 0.0009993184761125878, 'epoch': 0.0}
{'loss': 2.1505, 'learning_rate': 0.0009989777141688817, 'epoch': 0.0}
{'loss': 2.4093, 'learning_rate': 0.0009986369522251755, 'epoch': 0.01}
{'loss': 2.3466, 'learning_rate': 0.0009982961902814693, 'epoch': 0.01}
{'loss': 2.3192, 'learning_rate': 0.0009979554283377633, 'epoch': 0.01}
{'loss': 2.2324, 'learning_rate': 0.000997614666394057, 'epoch': 0.01}
{'loss': 2.2288, 'learning_rate': 0.0009972739044503511, 'epoch': 0.01}
{'loss': 2.0052, 'learning_rate': 0.000996933142506645, 'epoch': 0.01}
{'loss': 2.3997, 'learning_rate': 0.0009965923805629387, 'epoch': 0.01}
{'loss': 2.2021, 'learning_rate': 0.0009962516186192327, 'epoch': 0.01}
{'loss': 2.1969, 'learning_rate': 0.0009959108566755265, 'epoch': 0.02}
{'loss': 2.4184, 'learning_rate': 0.0009955700947318204, 'epoch': 0.02}
{'loss': 2.3458, 'learning_rate': 0.0009952293327881142, 'epoch': 0.02}
{'loss': 2.1169, 'learning_rate': 0.0009948885708444082, 'epoch': 0.02}
{'loss': 2.0289, 'learning_rate': 0.000994547808900702, 'epoch': 0.02}
{'loss': 2.1157, 'learning_rate': 0.0009942070469569958, 'epoch': 0.02}
{'loss': 2.2853, 'learning_rate': 0.0009938662850132896, 'epoch': 0.02}
{'loss': 2.4899, 'learning_rate': 0.0009935255230695836, 'epoch': 0.03}
{'loss': 2.1742, 'learning_rate': 0.0009931847611258774, 'epoch': 0.03}
{'loss': 1.9254, 'learning_rate': 0.0009928439991821714, 'epoch': 0.03}
{'loss': 2.3125, 'learning_rate': 0.0009925032372384652, 'epoch': 0.03}
{'loss': 2.2706, 'learning_rate': 0.000992162475294759, 'epoch': 0.03}
{'loss': 1.9855, 'learning_rate': 0.000991821713351053, 'epoch': 0.03}
{'loss': 2.2248, 'learning_rate': 0.0009914809514073469, 'epoch': 0.03}
{'loss': 2.1299, 'learning_rate': 0.0009911401894636407, 'epoch': 0.04}
{'loss': 2.2383, 'learning_rate': 0.0009907994275199345, 'epoch': 0.04}
{'loss': 1.9477, 'learning_rate': 0.0009904586655762285, 'epoch': 0.04}
{'loss': 1.9131, 'learning_rate': 0.0009901179036325223, 'epoch': 0.04}
{'loss': 1.8683, 'learning_rate': 0.0009897771416888161, 'epoch': 0.04}
{'loss': 2.0005, 'learning_rate': 0.0009894363797451101, 'epoch': 0.04}
{'loss': 2.1821, 'learning_rate': 0.000989095617801404, 'epoch': 0.04}
{'loss': 2.2472, 'learning_rate': 0.000988754855857698, 'epoch': 0.04}
{'loss': 2.0375, 'learning_rate': 0.0009884140939139918, 'epoch': 0.05}
{'loss': 2.3846, 'learning_rate': 0.0009880733319702856, 'epoch': 0.05}
{'loss': 2.1192, 'learning_rate': 0.0009877325700265794, 'epoch': 0.05}
{'loss': 1.8928, 'learning_rate': 0.0009873918080828734, 'epoch': 0.05}
{'loss': 2.2059, 'learning_rate': 0.0009870510461391672, 'epoch': 0.05}
{'loss': 2.2415, 'learning_rate': 0.000986710284195461, 'epoch': 0.05}
{'loss': 2.4065, 'learning_rate': 0.0009863695222517548, 'epoch': 0.05}
{'loss': 2.1624, 'learning_rate': 0.0009860287603080488, 'epoch': 0.06}
{'loss': 2.0603, 'learning_rate': 0.0009856879983643427, 'epoch': 0.06}
{'loss': 2.051, 'learning_rate': 0.0009853472364206367, 'epoch': 0.06}
{'loss': 1.9564, 'learning_rate': 0.0009850064744769305, 'epoch': 0.06}
{'loss': 1.8818, 'learning_rate': 0.0009846657125332243, 'epoch': 0.06}
{'loss': 2.1165, 'learning_rate': 0.0009843249505895183, 'epoch': 0.06}
{'loss': 1.9911, 'learning_rate': 0.0009839841886458121, 'epoch': 0.06}
{'loss': 2.0661, 'learning_rate': 0.000983643426702106, 'epoch': 0.07}
{'loss': 1.9754, 'learning_rate': 0.0009833026647583997, 'epoch': 0.07}
{'loss': 1.9975, 'learning_rate': 0.0009829619028146937, 'epoch': 0.07}
{'loss': 1.9803, 'learning_rate': 0.0009826211408709875, 'epoch': 0.07}
{'loss': 2.003, 'learning_rate': 0.0009822803789272814, 'epoch': 0.07}
{'loss': 1.8324, 'learning_rate': 0.0009819396169835752, 'epoch': 0.07}
{'loss': 1.9891, 'learning_rate': 0.0009815988550398692, 'epoch': 0.07}
{'loss': 1.999, 'learning_rate': 0.0009812580930961632, 'epoch': 0.07}
{'loss': 1.9219, 'learning_rate': 0.000980917331152457, 'epoch': 0.08}
{'loss': 2.1143, 'learning_rate': 0.0009805765692087508, 'epoch': 0.08}
{'loss': 1.9963, 'learning_rate': 0.0009802358072650446, 'epoch': 0.08}
{'loss': 1.7405, 'learning_rate': 0.0009798950453213386, 'epoch': 0.08}
{'loss': 2.3475, 'learning_rate': 0.0009795542833776324, 'epoch': 0.08}
{'loss': 1.9798, 'learning_rate': 0.0009792135214339262, 'epoch': 0.08}
{'loss': 2.1122, 'learning_rate': 0.00097887275949022, 'epoch': 0.08}
{'loss': 1.7366, 'learning_rate': 0.000978531997546514, 'epoch': 0.09}
{'loss': 1.8472, 'learning_rate': 0.0009781912356028079, 'epoch': 0.09}
{'loss': 2.0423, 'learning_rate': 0.0009778504736591017, 'epoch': 0.09}
{'loss': 2.1387, 'learning_rate': 0.0009775097117153957, 'epoch': 0.09}
{'loss': 2.1219, 'learning_rate': 0.0009771689497716895, 'epoch': 0.09}
{'loss': 1.8214, 'learning_rate': 0.0009768281878279835, 'epoch': 0.09}
{'loss': 2.032, 'learning_rate': 0.0009764874258842773, 'epoch': 0.09}
{'loss': 2.0704, 'learning_rate': 0.0009761466639405711, 'epoch': 0.1}
{'loss': 1.9023, 'learning_rate': 0.0009758059019968651, 'epoch': 0.1}
{'loss': 2.1688, 'learning_rate': 0.0009754651400531589, 'epoch': 0.1}
{'loss': 2.0428, 'learning_rate': 0.0009751243781094528, 'epoch': 0.1}
{'loss': 1.8573, 'learning_rate': 0.0009747836161657466, 'epoch': 0.1}
{'loss': 1.9325, 'learning_rate': 0.0009744428542220405, 'epoch': 0.1}
{'loss': 1.9702, 'learning_rate': 0.0009741020922783343, 'epoch': 0.1}
{'loss': 1.9681, 'learning_rate': 0.0009737613303346282, 'epoch': 0.1}
{'loss': 2.143, 'learning_rate': 0.0009734205683909221, 'epoch': 0.11}
{'loss': 1.7531, 'learning_rate': 0.0009730798064472159, 'epoch': 0.11}
{'loss': 1.9906, 'learning_rate': 0.00097273904450351, 'epoch': 0.11}
{'loss': 1.7891, 'learning_rate': 0.0009723982825598038, 'epoch': 0.11}
{'loss': 2.0777, 'learning_rate': 0.0009720575206160977, 'epoch': 0.11}
{'loss': 1.8911, 'learning_rate': 0.0009717167586723915, 'epoch': 0.11}
{'loss': 1.8883, 'learning_rate': 0.0009713759967286854, 'epoch': 0.11}
{'loss': 2.0622, 'learning_rate': 0.0009710352347849792, 'epoch': 0.12}
{'loss': 2.041, 'learning_rate': 0.0009706944728412731, 'epoch': 0.12}
{'loss': 2.0464, 'learning_rate': 0.0009703537108975669, 'epoch': 0.12}
{'loss': 1.7762, 'learning_rate': 0.0009700129489538608, 'epoch': 0.12}
{'loss': 1.8987, 'learning_rate': 0.0009696721870101547, 'epoch': 0.12}
{'loss': 1.9463, 'learning_rate': 0.0009693314250664485, 'epoch': 0.12}
{'loss': 1.9469, 'learning_rate': 0.0009689906631227425, 'epoch': 0.12}
{'loss': 1.7887, 'learning_rate': 0.0009686499011790364, 'epoch': 0.13}
{'loss': 1.7797, 'learning_rate': 0.0009683091392353303, 'epoch': 0.13}
{'loss': 1.9032, 'learning_rate': 0.0009679683772916241, 'epoch': 0.13}
{'loss': 1.7952, 'learning_rate': 0.000967627615347918, 'epoch': 0.13}
{'loss': 2.0546, 'learning_rate': 0.0009672868534042118, 'epoch': 0.13}
{'loss': 2.0594, 'learning_rate': 0.0009669460914605057, 'epoch': 0.13}
{'loss': 2.0147, 'learning_rate': 0.0009666053295167995, 'epoch': 0.13}
{'loss': 1.5641, 'learning_rate': 0.0009662645675730934, 'epoch': 0.13}
{'loss': 2.0001, 'learning_rate': 0.0009659238056293874, 'epoch': 0.14}
{'loss': 1.926, 'learning_rate': 0.0009655830436856812, 'epoch': 0.14}
{'loss': 1.9296, 'learning_rate': 0.0009652422817419751, 'epoch': 0.14}
{'loss': 1.9183, 'learning_rate': 0.0009649015197982689, 'epoch': 0.14}
{'loss': 1.9278, 'learning_rate': 0.0009645607578545629, 'epoch': 0.14}
{'loss': 1.8308, 'learning_rate': 0.0009642199959108567, 'epoch': 0.14}
{'loss': 1.8817, 'learning_rate': 0.0009638792339671506, 'epoch': 0.14}
{'loss': 2.077, 'learning_rate': 0.0009635384720234444, 'epoch': 0.15}
{'loss': 1.9114, 'learning_rate': 0.0009631977100797383, 'epoch': 0.15}
{'loss': 1.9168, 'learning_rate': 0.0009628569481360322, 'epoch': 0.15}
{'loss': 1.9197, 'learning_rate': 0.0009625161861923261, 'epoch': 0.15}
{'loss': 1.9168, 'learning_rate': 0.00096217542424862, 'epoch': 0.15}
{'loss': 1.7776, 'learning_rate': 0.0009618346623049138, 'epoch': 0.15}
{'loss': 1.7935, 'learning_rate': 0.0009614939003612077, 'epoch': 0.15}
{'loss': 1.9873, 'learning_rate': 0.0009611531384175015, 'epoch': 0.16}
{'loss': 1.8795, 'learning_rate': 0.0009608123764737954, 'epoch': 0.16}
{'loss': 1.9829, 'learning_rate': 0.0009604716145300893, 'epoch': 0.16}
{'loss': 1.865, 'learning_rate': 0.0009601308525863832, 'epoch': 0.16}
{'loss': 1.9311, 'learning_rate': 0.000959790090642677, 'epoch': 0.16}
{'loss': 1.9026, 'learning_rate': 0.000959449328698971, 'epoch': 0.16}
{'loss': 1.7996, 'learning_rate': 0.0009591085667552649, 'epoch': 0.16}
{'loss': 1.7048, 'learning_rate': 0.0009587678048115587, 'epoch': 0.16}
{'loss': 1.8223, 'learning_rate': 0.0009584270428678526, 'epoch': 0.17}
{'loss': 1.8055, 'learning_rate': 0.0009580862809241464, 'epoch': 0.17}
{'loss': 1.7987, 'learning_rate': 0.0009577455189804403, 'epoch': 0.17}
{'loss': 1.7609, 'learning_rate': 0.0009574047570367341, 'epoch': 0.17}
{'loss': 1.9514, 'learning_rate': 0.000957063995093028, 'epoch': 0.17}
{'loss': 1.8958, 'learning_rate': 0.0009567232331493218, 'epoch': 0.17}
{'loss': 1.8685, 'learning_rate': 0.0009563824712056157, 'epoch': 0.17}
{'loss': 1.5813, 'learning_rate': 0.0009560417092619097, 'epoch': 0.18}
{'loss': 1.8382, 'learning_rate': 0.0009557009473182036, 'epoch': 0.18}
