Initializing soft prompt...
{'loss': 0.4788, 'learning_rate': 0.0009990867579908675, 'epoch': 0.0}
{'loss': 0.492, 'learning_rate': 0.0009981735159817352, 'epoch': 0.01}
{'loss': 0.4893, 'learning_rate': 0.0009972602739726027, 'epoch': 0.01}
{'loss': 0.4155, 'learning_rate': 0.0009963470319634704, 'epoch': 0.01}
{'loss': 0.4984, 'learning_rate': 0.0009954337899543378, 'epoch': 0.02}
{'loss': 0.5058, 'learning_rate': 0.0009945205479452055, 'epoch': 0.02}
{'loss': 0.4374, 'learning_rate': 0.000993607305936073, 'epoch': 0.03}
{'loss': 0.4732, 'learning_rate': 0.0009926940639269407, 'epoch': 0.03}
{'loss': 0.4886, 'learning_rate': 0.0009917808219178082, 'epoch': 0.03}
{'loss': 0.4571, 'learning_rate': 0.0009908675799086759, 'epoch': 0.04}
{'loss': 0.4644, 'learning_rate': 0.0009899543378995433, 'epoch': 0.04}
{'loss': 0.4651, 'learning_rate': 0.000989041095890411, 'epoch': 0.04}
{'loss': 0.5147, 'learning_rate': 0.0009881278538812785, 'epoch': 0.05}
{'loss': 0.4832, 'learning_rate': 0.0009872146118721462, 'epoch': 0.05}
{'loss': 0.4525, 'learning_rate': 0.0009863013698630137, 'epoch': 0.05}
{'loss': 0.4894, 'learning_rate': 0.0009853881278538814, 'epoch': 0.06}
{'loss': 0.4755, 'learning_rate': 0.0009844748858447488, 'epoch': 0.06}
{'loss': 0.4204, 'learning_rate': 0.0009835616438356163, 'epoch': 0.07}
{'loss': 0.3791, 'learning_rate': 0.000982648401826484, 'epoch': 0.07}
{'loss': 0.4857, 'learning_rate': 0.0009817351598173517, 'epoch': 0.07}
{'loss': 0.4405, 'learning_rate': 0.0009808219178082192, 'epoch': 0.08}
{'loss': 0.5024, 'learning_rate': 0.0009799086757990869, 'epoch': 0.08}
{'loss': 0.5014, 'learning_rate': 0.0009789954337899543, 'epoch': 0.08}
{'loss': 0.4118, 'learning_rate': 0.0009780821917808218, 'epoch': 0.09}
{'loss': 0.4259, 'learning_rate': 0.0009771689497716895, 'epoch': 0.09}
{'loss': 0.4822, 'learning_rate': 0.0009762557077625571, 'epoch': 0.09}
{'loss': 0.4498, 'learning_rate': 0.0009753424657534247, 'epoch': 0.1}
{'loss': 0.4954, 'learning_rate': 0.0009744292237442923, 'epoch': 0.1}
{'loss': 0.4641, 'learning_rate': 0.0009735159817351598, 'epoch': 0.11}
{'loss': 0.4221, 'learning_rate': 0.0009726027397260274, 'epoch': 0.11}
{'loss': 0.4544, 'learning_rate': 0.000971689497716895, 'epoch': 0.11}
{'loss': 0.498, 'learning_rate': 0.0009707762557077626, 'epoch': 0.12}
{'loss': 0.485, 'learning_rate': 0.0009698630136986302, 'epoch': 0.12}
{'loss': 0.5168, 'learning_rate': 0.0009689497716894978, 'epoch': 0.12}
