Initializing soft prompt...
{'logging': 1, 'method': 'prompt_tuning', 'model': 'gpt2-large', 'task': 't2t', 'mode': 'train', 'train_set': 'webnlg', 'val_set': 'SQuAD', 'test_set': 'DuoRC.ParaphraseRC', 'model_dir': 'none', 'soft_prompt_path': None, 'n_tokens': 1, 'initialize_from_vocab': True, 'random_range': 0.5, 'bz': 4, 'lr': 0.001, 'epoch': 4, 'optimizer': 'adafactor', 'clip_threshold': 1.0, 'scale_parameter': False, 'relative_step': False, 'warmup_init': False, 'path': 'prompt_tuning/webnlg/gpt2-large/1/2022-03-04-040102'}
{'loss': 8.1973, 'learning_rate': 0.000998890614599512, 'epoch': 0.0}
{'loss': 7.6873, 'learning_rate': 0.0009977812291990238, 'epoch': 0.01}
{'loss': 7.4662, 'learning_rate': 0.0009966718437985356, 'epoch': 0.01}
{'loss': 7.6439, 'learning_rate': 0.0009955624583980476, 'epoch': 0.02}
{'loss': 7.3185, 'learning_rate': 0.0009944530729975593, 'epoch': 0.02}
{'loss': 7.3505, 'learning_rate': 0.0009933436875970713, 'epoch': 0.03}
{'loss': 7.2091, 'learning_rate': 0.0009922343021965831, 'epoch': 0.03}
{'loss': 7.1571, 'learning_rate': 0.000991124916796095, 'epoch': 0.04}
{'loss': 6.6105, 'learning_rate': 0.000990015531395607, 'epoch': 0.04}
{'loss': 6.7556, 'learning_rate': 0.0009889061459951187, 'epoch': 0.04}
{'loss': 5.5602, 'learning_rate': 0.0009877967605946307, 'epoch': 0.05}
{'loss': 5.7442, 'learning_rate': 0.0009866873751941424, 'epoch': 0.05}
{'loss': 4.7781, 'learning_rate': 0.0009855779897936542, 'epoch': 0.06}
{'loss': 5.0307, 'learning_rate': 0.0009844686043931662, 'epoch': 0.06}
{'loss': 4.6482, 'learning_rate': 0.0009833592189926782, 'epoch': 0.07}
{'loss': 4.9577, 'learning_rate': 0.00098224983359219, 'epoch': 0.07}
{'loss': 4.1851, 'learning_rate': 0.0009811404481917018, 'epoch': 0.08}
{'loss': 4.2483, 'learning_rate': 0.0009800310627912138, 'epoch': 0.08}
{'loss': 4.0086, 'learning_rate': 0.0009789216773907255, 'epoch': 0.08}
{'loss': 3.5433, 'learning_rate': 0.0009778122919902375, 'epoch': 0.09}
{'loss': 3.4987, 'learning_rate': 0.0009767029065897493, 'epoch': 0.09}
{'loss': 3.3475, 'learning_rate': 0.0009755935211892611, 'epoch': 0.1}
{'loss': 3.1227, 'learning_rate': 0.0009744841357887731, 'epoch': 0.1}
{'loss': 2.9241, 'learning_rate': 0.000973374750388285, 'epoch': 0.11}
{'loss': 3.6188, 'learning_rate': 0.0009722653649877969, 'epoch': 0.11}
{'loss': 3.2145, 'learning_rate': 0.0009711559795873086, 'epoch': 0.12}
{'loss': 3.3922, 'learning_rate': 0.0009700465941868205, 'epoch': 0.12}
{'loss': 2.3004, 'learning_rate': 0.0009689372087863324, 'epoch': 0.12}
{'loss': 2.6307, 'learning_rate': 0.0009678278233858443, 'epoch': 0.13}
{'loss': 2.6125, 'learning_rate': 0.0009667184379853561, 'epoch': 0.13}
{'loss': 2.4837, 'learning_rate': 0.000965609052584868, 'epoch': 0.14}
{'loss': 2.4155, 'learning_rate': 0.0009644996671843799, 'epoch': 0.14}
{'loss': 2.2407, 'learning_rate': 0.0009633902817838917, 'epoch': 0.15}
{'loss': 2.4219, 'learning_rate': 0.0009622808963834036, 'epoch': 0.15}
{'loss': 2.0727, 'learning_rate': 0.0009611715109829154, 'epoch': 0.16}
{'loss': 1.9804, 'learning_rate': 0.0009600621255824273, 'epoch': 0.16}
{'loss': 1.8666, 'learning_rate': 0.0009589527401819392, 'epoch': 0.16}
{'loss': 1.9582, 'learning_rate': 0.0009578433547814512, 'epoch': 0.17}
{'loss': 2.2616, 'learning_rate': 0.0009567339693809631, 'epoch': 0.17}
{'loss': 2.1499, 'learning_rate': 0.0009556245839804748, 'epoch': 0.18}
{'loss': 2.3481, 'learning_rate': 0.0009545151985799867, 'epoch': 0.18}
{'loss': 2.0365, 'learning_rate': 0.0009534058131794986, 'epoch': 0.19}
{'loss': 1.756, 'learning_rate': 0.0009522964277790105, 'epoch': 0.19}
{'loss': 2.2121, 'learning_rate': 0.0009511870423785223, 'epoch': 0.2}
{'loss': 2.0605, 'learning_rate': 0.0009500776569780342, 'epoch': 0.2}
{'loss': 1.8979, 'learning_rate': 0.000948968271577546, 'epoch': 0.2}
{'loss': 1.8222, 'learning_rate': 0.0009478588861770579, 'epoch': 0.21}
{'loss': 1.8742, 'learning_rate': 0.0009467495007765698, 'epoch': 0.21}
{'loss': 2.0223, 'learning_rate': 0.0009456401153760816, 'epoch': 0.22}
{'loss': 1.8837, 'learning_rate': 0.0009445307299755935, 'epoch': 0.22}
{'loss': 1.9537, 'learning_rate': 0.0009434213445751054, 'epoch': 0.23}
{'loss': 2.009, 'learning_rate': 0.0009423119591746173, 'epoch': 0.23}
{'loss': 2.083, 'learning_rate': 0.0009412025737741292, 'epoch': 0.24}
{'loss': 1.9091, 'learning_rate': 0.000940093188373641, 'epoch': 0.24}
{'loss': 1.9484, 'learning_rate': 0.0009389838029731529, 'epoch': 0.24}
{'loss': 1.6308, 'learning_rate': 0.0009378744175726648, 'epoch': 0.25}
{'loss': 1.8295, 'learning_rate': 0.0009367650321721767, 'epoch': 0.25}
{'loss': 1.8026, 'learning_rate': 0.0009356556467716885, 'epoch': 0.26}
{'loss': 1.9537, 'learning_rate': 0.0009345462613712004, 'epoch': 0.26}
{'loss': 1.644, 'learning_rate': 0.0009334368759707123, 'epoch': 0.27}
{'loss': 1.8845, 'learning_rate': 0.0009323274905702241, 'epoch': 0.27}
{'loss': 1.8239, 'learning_rate': 0.000931218105169736, 'epoch': 0.28}
{'loss': 1.8166, 'learning_rate': 0.0009301087197692478, 'epoch': 0.28}
{'loss': 1.9465, 'learning_rate': 0.0009289993343687597, 'epoch': 0.28}
{'loss': 1.752, 'learning_rate': 0.0009278899489682716, 'epoch': 0.29}
{'loss': 1.5517, 'learning_rate': 0.0009267805635677835, 'epoch': 0.29}
{'loss': 1.9879, 'learning_rate': 0.0009256711781672952, 'epoch': 0.3}
{'loss': 1.6303, 'learning_rate': 0.0009245617927668072, 'epoch': 0.3}
{'loss': 2.1416, 'learning_rate': 0.0009234524073663191, 'epoch': 0.31}
{'loss': 1.6734, 'learning_rate': 0.000922343021965831, 'epoch': 0.31}
{'loss': 1.5225, 'learning_rate': 0.0009212336365653429, 'epoch': 0.32}
{'loss': 1.6447, 'learning_rate': 0.0009201242511648547, 'epoch': 0.32}
{'loss': 1.6114, 'learning_rate': 0.0009190148657643666, 'epoch': 0.32}
