Initializing soft prompt...
{'logging': 1, 'method': 'prompt_tuning', 'model': 'gpt2-medium', 'task': 't2t', 'mode': 'train', 'train_set': 'webnlg', 'val_set': 'SQuAD', 'test_set': 'DuoRC.ParaphraseRC', 'model_dir': 'none', 'soft_prompt_path': None, 'n_tokens': 10, 'initialize_from_vocab': True, 'random_range': 0.5, 'bz': 4, 'lr': 0.001, 'epoch': 4, 'optimizer': 'adafactor', 'clip_threshold': 1.0, 'scale_parameter': False, 'relative_step': False, 'warmup_init': False, 'path': 'prompt_tuning/webnlg/gpt2-medium/10/2022-03-04-020724'}
{'loss': 7.6165, 'learning_rate': 0.000998890614599512, 'epoch': 0.0}
{'loss': 6.6164, 'learning_rate': 0.0009977812291990238, 'epoch': 0.01}
{'loss': 5.1649, 'learning_rate': 0.0009966718437985356, 'epoch': 0.01}
{'loss': 4.7223, 'learning_rate': 0.0009955624583980476, 'epoch': 0.02}
{'loss': 4.3332, 'learning_rate': 0.0009944530729975593, 'epoch': 0.02}
{'loss': 3.8465, 'learning_rate': 0.0009933436875970713, 'epoch': 0.03}
{'loss': 3.4476, 'learning_rate': 0.0009922343021965831, 'epoch': 0.03}
{'loss': 2.5265, 'learning_rate': 0.000991124916796095, 'epoch': 0.04}
{'loss': 2.0728, 'learning_rate': 0.000990015531395607, 'epoch': 0.04}
{'loss': 1.4859, 'learning_rate': 0.0009889061459951187, 'epoch': 0.04}
{'loss': 1.5184, 'learning_rate': 0.0009877967605946307, 'epoch': 0.05}
{'loss': 1.1355, 'learning_rate': 0.0009866873751941424, 'epoch': 0.05}
{'loss': 1.3006, 'learning_rate': 0.0009855779897936542, 'epoch': 0.06}
{'loss': 1.0809, 'learning_rate': 0.0009844686043931662, 'epoch': 0.06}
{'loss': 1.1282, 'learning_rate': 0.0009833592189926782, 'epoch': 0.07}
{'loss': 1.0996, 'learning_rate': 0.00098224983359219, 'epoch': 0.07}
{'loss': 1.1195, 'learning_rate': 0.0009811404481917018, 'epoch': 0.08}
{'loss': 1.0568, 'learning_rate': 0.0009800310627912138, 'epoch': 0.08}
{'loss': 1.1829, 'learning_rate': 0.0009789216773907255, 'epoch': 0.08}
{'loss': 0.9974, 'learning_rate': 0.0009778122919902375, 'epoch': 0.09}
{'loss': 0.9299, 'learning_rate': 0.0009767029065897493, 'epoch': 0.09}
{'loss': 1.1153, 'learning_rate': 0.0009755935211892611, 'epoch': 0.1}
{'loss': 1.0358, 'learning_rate': 0.0009744841357887731, 'epoch': 0.1}
{'loss': 0.9005, 'learning_rate': 0.000973374750388285, 'epoch': 0.11}
{'loss': 1.0549, 'learning_rate': 0.0009722653649877969, 'epoch': 0.11}
{'loss': 1.1562, 'learning_rate': 0.0009711559795873086, 'epoch': 0.12}
{'loss': 1.0135, 'learning_rate': 0.0009700465941868205, 'epoch': 0.12}
{'loss': 0.7906, 'learning_rate': 0.0009689372087863324, 'epoch': 0.12}
{'loss': 0.886, 'learning_rate': 0.0009678278233858443, 'epoch': 0.13}
{'loss': 0.9158, 'learning_rate': 0.0009667184379853561, 'epoch': 0.13}
{'loss': 0.8911, 'learning_rate': 0.000965609052584868, 'epoch': 0.14}
{'loss': 0.9335, 'learning_rate': 0.0009644996671843799, 'epoch': 0.14}
{'loss': 0.7943, 'learning_rate': 0.0009633902817838917, 'epoch': 0.15}
{'loss': 0.8822, 'learning_rate': 0.0009622808963834036, 'epoch': 0.15}
{'loss': 0.8331, 'learning_rate': 0.0009611715109829154, 'epoch': 0.16}
{'loss': 0.809, 'learning_rate': 0.0009600621255824273, 'epoch': 0.16}
{'loss': 0.812, 'learning_rate': 0.0009589527401819392, 'epoch': 0.16}
{'loss': 0.7941, 'learning_rate': 0.0009578433547814512, 'epoch': 0.17}
{'loss': 0.8539, 'learning_rate': 0.0009567339693809631, 'epoch': 0.17}
{'loss': 0.9662, 'learning_rate': 0.0009556245839804748, 'epoch': 0.18}
{'loss': 0.9682, 'learning_rate': 0.0009545151985799867, 'epoch': 0.18}
{'loss': 0.8565, 'learning_rate': 0.0009534058131794986, 'epoch': 0.19}
{'loss': 0.7529, 'learning_rate': 0.0009522964277790105, 'epoch': 0.19}
{'loss': 0.8601, 'learning_rate': 0.0009511870423785223, 'epoch': 0.2}
{'loss': 0.8791, 'learning_rate': 0.0009500776569780342, 'epoch': 0.2}
{'loss': 0.8331, 'learning_rate': 0.000948968271577546, 'epoch': 0.2}
{'loss': 0.894, 'learning_rate': 0.0009478588861770579, 'epoch': 0.21}
{'loss': 0.829, 'learning_rate': 0.0009467495007765698, 'epoch': 0.21}
{'loss': 0.7414, 'learning_rate': 0.0009456401153760816, 'epoch': 0.22}
{'loss': 0.8945, 'learning_rate': 0.0009445307299755935, 'epoch': 0.22}
{'loss': 0.9255, 'learning_rate': 0.0009434213445751054, 'epoch': 0.23}
{'loss': 0.8614, 'learning_rate': 0.0009423119591746173, 'epoch': 0.23}
{'loss': 0.8538, 'learning_rate': 0.0009412025737741292, 'epoch': 0.24}
{'loss': 0.7184, 'learning_rate': 0.000940093188373641, 'epoch': 0.24}
{'loss': 0.8805, 'learning_rate': 0.0009389838029731529, 'epoch': 0.24}
{'loss': 0.7148, 'learning_rate': 0.0009378744175726648, 'epoch': 0.25}
{'loss': 0.857, 'learning_rate': 0.0009367650321721767, 'epoch': 0.25}
{'loss': 0.79, 'learning_rate': 0.0009356556467716885, 'epoch': 0.26}
{'loss': 0.8546, 'learning_rate': 0.0009345462613712004, 'epoch': 0.26}
{'loss': 0.7733, 'learning_rate': 0.0009334368759707123, 'epoch': 0.27}
{'loss': 0.8296, 'learning_rate': 0.0009323274905702241, 'epoch': 0.27}
{'loss': 0.8289, 'learning_rate': 0.000931218105169736, 'epoch': 0.28}
{'loss': 0.8585, 'learning_rate': 0.0009301087197692478, 'epoch': 0.28}
