/opt/conda/lib/python3.9/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
: 0.0009954337899543378, 'epoch': 0.02}
{'loss': 0.5161, 'learning_rate': 0.0009942922374429224, 'epoch': 0.02}
{'loss': 0.4804, 'learning_rate': 0.0009931506849315068, 'epoch': 0.03}
{'loss': 0.4803, 'learning_rate': 0.0009920091324200915, 'epoch': 0.03}
{'loss': 0.4939, 'learning_rate': 0.0009908675799086759, 'epoch': 0.04}
{'loss': 0.4572, 'learning_rate': 0.0009897260273972603, 'epoch': 0.04}
{'loss': 0.5069, 'learning_rate': 0.0009885844748858449, 'epoch': 0.05}
{'loss': 0.5552, 'learning_rate': 0.0009874429223744293, 'epoch': 0.05}
{'loss': 0.4737, 'learning_rate': 0.0009863013698630137, 'epoch': 0.05}
{'loss': 0.5165, 'learning_rate': 0.0009851598173515983, 'epoch': 0.06}
{'loss': 0.4611, 'learning_rate': 0.0009840182648401827, 'epoch': 0.06}
{'loss': 0.4229, 'learning_rate': 0.000982876712328767, 'epoch': 0.07}
{'loss': 0.5036, 'learning_rate': 0.0009817351598173517, 'epoch': 0.07}
{'loss': 0.4856, 'learning_rate': 0.000980593607305936, 'epoch': 0.08}
{'loss': 0.5111, 'learning_rate': 0.0009794520547945205, 'epoch': 0.08}
{'loss': 0.4505, 'learning_rate': 0.0009783105022831051, 'epoch': 0.09}
{'loss': 0.431, 'learning_rate': 0.0009771689497716895, 'epoch': 0.09}
{'loss': 0.4424, 'learning_rate': 0.000976027397260274, 'epoch': 0.1}
{'loss': 0.5089, 'learning_rate': 0.0009748858447488584, 'epoch': 0.1}
{'loss': 0.4882, 'learning_rate': 0.000973744292237443, 'epoch': 0.11}
{'loss': 0.4749, 'learning_rate': 0.0009726027397260274, 'epoch': 0.11}
{'loss': 0.5082, 'learning_rate': 0.0009714611872146118, 'epoch': 0.11}
{'loss': 0.5147, 'learning_rate': 0.0009703196347031964, 'epoch': 0.12}
{'loss': 0.4978, 'learning_rate': 0.0009691780821917808, 'epoch': 0.12}
{'loss': 0.455, 'learning_rate': 0.0009680365296803652, 'epoch': 0.13}
{'loss': 0.4668, 'learning_rate': 0.0009668949771689499, 'epoch': 0.13}
{'loss': 0.4722, 'learning_rate': 0.0009657534246575343, 'epoch': 0.14}
{'loss': 0.5239, 'learning_rate': 0.0009646118721461188, 'epoch': 0.14}
{'loss': 0.4344, 'learning_rate': 0.0009634703196347033, 'epoch': 0.15}
{'loss': 0.5236, 'learning_rate': 0.0009623287671232877, 'epoch': 0.15}
{'loss': 0.5949, 'learning_rate': 0.0009611872146118722, 'epoch': 0.16}
{'loss': 0.4613, 'learning_rate': 0.0009600456621004567, 'epoch': 0.16}
{'loss': 0.4346, 'learning_rate': 0.0009589041095890411, 'epoch': 0.16}
{'loss': 0.46, 'learning_rate': 0.0009577625570776256, 'epoch': 0.17}
{'loss': 0.4961, 'learning_rate': 0.00095662100456621, 'epoch': 0.17}
{'loss': 0.4769, 'learning_rate': 0.0009554794520547946, 'epoch': 0.18}
{'loss': 0.4768, 'learning_rate': 0.000954337899543379, 'epoch': 0.18}
{'loss': 0.5288, 'learning_rate': 0.0009531963470319634, 'epoch': 0.19}
{'loss': 0.4691, 'learning_rate': 0.000952054794520548, 'epoch': 0.19}
{'loss': 0.4517, 'learning_rate': 0.0009509132420091324, 'epoch': 0.2}
{'loss': 0.4174, 'learning_rate': 0.0009497716894977168, 'epoch': 0.2}
{'loss': 0.5095, 'learning_rate': 0.0009486301369863014, 'epoch': 0.21}
{'loss': 0.4585, 'learning_rate': 0.0009474885844748858, 'epoch': 0.21}
{'loss': 0.488, 'learning_rate': 0.0009463470319634703, 'epoch': 0.21}
{'loss': 0.47, 'learning_rate': 0.0009452054794520548, 'epoch': 0.22}
{'loss': 0.5106, 'learning_rate': 0.0009440639269406392, 'epoch': 0.22}
{'loss': 0.4702, 'learning_rate': 0.0009429223744292237, 'epoch': 0.23}
{'loss': 0.4365, 'learning_rate': 0.0009417808219178083, 'epoch': 0.23}
{'loss': 0.4755, 'learning_rate': 0.0009406392694063927, 'epoch': 0.24}
{'loss': 0.4757, 'learning_rate': 0.0009394977168949772, 'epoch': 0.24}
{'loss': 0.4865, 'learning_rate': 0.0009383561643835617, 'epoch': 0.25}
{'loss': 0.5099, 'learning_rate': 0.0009372146118721462, 'epoch': 0.25}
{'loss': 0.4873, 'learning_rate': 0.0009360730593607306, 'epoch': 0.26}
{'loss': 0.4353, 'learning_rate': 0.0009349315068493151, 'epoch': 0.26}
{'loss': 0.4228, 'learning_rate': 0.0009337899543378996, 'epoch': 0.26}
